621127370	20170120	201701	2017	2017.0548											MEXGOV	MEXICAN	MEX					GOV			1	057	057	05	1	8.0	3	1	3	-2.03850509626274	0							2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	1	Mexico	MX	MX	23	-102	MX	20170127	https://www.abqjournal.com/936821/how-trumps-immigration-and-trade-policies-could-hurt-border-town-economies.html
621127383	20170120	201701	2017	2017.0548	GOV	PROVINCIAL OFFICIALS						GOV			CAN	SASKATCHEWAN	CAN								1	042	042	04	1	1.9	4	1	4	-4.20168067226891	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170127	http://www.msn.com/en-ca/news/canada/small-hole-caused-canadian-oil-pipeline-spill-officials/ar-AAmhP8s
621127399	20170120	201701	2017	2017.0548	MEX	MEXICAN	MEX								MEXGOV	MEXICO	MEX					GOV			1	012	012	01	1	-0.4	1	1	1	-2.03850509626274	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	1	Mexico	MX	MX	23	-102	MX	20170127	https://www.abqjournal.com/936821/how-trumps-immigration-and-trade-policies-could-hurt-border-town-economies.html
621127404	20170120	201701	2017	2017.0548	MEX	MEXICAN	MEX								USA	UNITED STATES	USA								1	164	164	16	4	-7.0	3	2	3	-1.73867700856302	1	Mexico	MX	MX	23	-102	MX	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170127	https://www.abqjournal.com/936821/how-trumps-immigration-and-trade-policies-could-hurt-border-town-economies.html
621127405	20170120	201701	2017	2017.0548	MEX	MEXICAN	MEX								USAGOV	THE WHITE HOUSE	USA					GOV			1	164	164	16	4	-7.0	14	4	14	-2.22552431600368	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170127	http://www.virginiamn.com/around_the_web/news/mexican-president-calls-trump-s-bluff-on-official-visit/article_71883339-f387-5c46-8703-aa56bf1af77f.html
621127406	20170120	201701	2017	2017.0548	MEX	MEXICAN	MEX								USAGOV	THE WHITE HOUSE	USA					GOV			1	164	164	16	4	-7.0	6	5	6	-3.71432004421696	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	20170127	http://www.virginiamn.com/around_the_web/news/mexican-president-calls-trump-s-bluff-on-official-visit/article_71883339-f387-5c46-8703-aa56bf1af77f.html
621127408	20170120	201701	2017	2017.0548	MEXGOV	MEXICAN	MEX					GOV													1	057	057	05	1	8.0	3	1	3	-2.03850509626274	1	Mexico	MX	MX	23	-102	MX	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170127	https://www.abqjournal.com/936821/how-trumps-immigration-and-trade-policies-could-hurt-border-town-economies.html
621127412	20170120	201701	2017	2017.0548	MEXGOV	MEXICO	MEX					GOV			MEX	MEXICAN	MEX								1	057	057	05	1	8.0	1	1	1	-2.03850509626274	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	20170127	https://www.abqjournal.com/936821/how-trumps-immigration-and-trade-policies-could-hurt-border-town-economies.html
621127414	20170120	201701	2017	2017.0548	MEXGOV	MEXICO	MEX					GOV			USA	UNITED STATES	USA								1	012	012	01	1	-0.4	1	1	1	-2.03850509626274	2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170127	https://www.abqjournal.com/936821/how-trumps-immigration-and-trade-policies-could-hurt-border-town-economies.html
621127417	20170120	201701	2017	2017.0548	MEXGOV	MEXICAN	MEX					GOV			USA	WASHINGTON	USA								1	125	125	12	3	-5.0	10	3	10	-1.70492397479477	1	Mexico	MX	MX	23	-102	MX	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170127	https://in.newshub.org/donald-trump-wants-fund-mexico-border-wall-20-import-tax-spokesman-25204021.html
