626593580	20170205	201702	2017	2017.0959	MEX	MEXICO	MEX								USA	UNITED STATES	USA								1	130	130	13	3	-4.4	2	1	2	-1.36363636363636	4	Baja California, Chiapas, Mexico	MX	MX05	16.4167	-93.7833	6255325	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170212	http://www.heralddemocrat.com/news/20170211/austin-college-to-host-native-american-language-lecture
626593581	20170205	201702	2017	2017.0959	MEX	MEXICAN	MEX								nai	NATIVE AMERICAN			nai						1	130	130	13	3	-4.4	2	1	2	-1.36363636363636	4	Baja California, Chiapas, Mexico	MX	MX05	16.4167	-93.7833	6255325	1	United States	US	US	38	-97	US	4	Baja California, Chiapas, Mexico	MX	MX05	16.4167	-93.7833	6255325	20170212	http://www.heralddemocrat.com/news/20170211/austin-college-to-host-native-american-language-lecture
626593582	20170205	201702	2017	2017.0959	MEX	MEXICAN	MEX								nai	NATIVE AMERICAN			nai						1	130	130	13	3	-4.4	3	1	3	-1.36363636363636	4	Baja California, Chiapas, Mexico	MX	MX05	16.4167	-93.7833	6255325	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170212	http://www.heralddemocrat.com/news/20170211/austin-college-to-host-native-american-language-lecture
626593866	20170212	201702	2017	2017.1151											USA	UNITED STATES	USA								0	051	051	05	1	3.4	4	2	4	-3.25038090401219	0							3	Pocahontas, Virginia, United States	US	USVA	37.3037	-81.3395	1493440	1	Mexico	MX	MX	23	-102	MX	20170212	http://www.heraldsun.com.au/news/world/russia-considering-handing-edward-snowden-to-the-us-as-a-gift-to-donald-trump/news-story/b071124cf3e97d41480518974982897d?nk=2b027b0c6c1994009ef956b6efdabfc9-1486856781
626594097	20170212	201702	2017	2017.1151	CHN	CHINA	CHN								USA	UNITED STATES	USA								1	046	046	04	1	7.0	8	2	8	-0.61021071673022	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170212	http://www.thestar.com.my/opinion/columnists/behind-the-headlines/2017/02/12/decoding-trumpism-western-media-coverage-of-trumps-minor-policies-including-trivia-only-obscures-the/
626594099	20170212	201702	2017	2017.1151	CHN	CHINA	CHN								USA	UNITED STATES	USA								1	046	046	04	1	7.0	4	1	4	-3.27380952380952	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170212	http://www.thestar.com.my/opinion/columnists/behind-the-headlines/2017/02/12/decoding-trumpism-western-media-coverage-of-trumps-minor-policies-including-trivia-only-obscures-the/
626594280	20170212	201702	2017	2017.1151	CVL	CITIZEN						CVL			USA	UNITED STATES	USA								1	190	190	19	4	-10.0	2	1	2	-3.65217391304348	1	Mexico	MX	MX	23	-102	MX	2	Florida, United States	US	USFL	27.8333	-81.717	FL	1	Mexico	MX	MX	23	-102	MX	20170212	https://www.coolum-news.com.au/news/trumps-wall-suffers-enormous-cost-blowout/3142417/
626594394	20170212	201702	2017	2017.1151	EUR	EUROPEAN	EUR								USA	WASHINGTON	USA								1	042	042	04	1	1.9	27	27	27	0.491339904090686	1	United Kingdom	UK	UK	54	-2	UK	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170212	http://wknofm.org/post/eu-foreign-policy-chief-meets-secretary-state-tillerson-wh-advisers
626594396	20170212	201702	2017	2017.1151	EUR	EUROPE	EUR								USA	THE US	USA								0	060	060	06	2	6.0	2	2	2	-0.0277161862527748	1	United States	US	US	38	-97	US	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170212	http://www.truthdig.com/report/item/why_are_my_highly_educated_friends_so_ignorant_about_trade_20170211
626594450	20170212	201702	2017	2017.1151	GBR	UNITED KINGDOM	GBR								EUR	EUROPEAN	EUR								1	013	013	01	1	0.4	27	27	27	0.491339904090686	1	United Kingdom	UK	UK	54	-2	UK	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	20170212	http://wknofm.org/post/eu-foreign-policy-chief-meets-secretary-state-tillerson-wh-advisers
