619201493	20161222	201612	2016	2016.9644	USAGOV	BARACK OBAMA	USA					GOV			CHN	CHINA	CHN								0	130	130	13	3	-4.4	10	1	10	-1.45348837209303	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170121	http://www.brecorder.com/top-stories/0:/131209:chinas-largest-chip-company-to-build-30-billion-semiconductor-factory/
619201558	20170121	201701	2017	2017.0575											BUS	BUSINESS						BUS			1	0841	084	08	2	7.0	22	11	22	0.323395360512536	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Mexico City, Distrito Federal, Mexico	MX	MX09	19.4342	-99.1386	-1658079	20170121	http://www.770kkob.com/news/carlos-slim-fast-facts/
619201659	20170121	201701	2017	2017.0575											GBR	UNITED KINGDOM	GBR								0	139	139	13	3	-7.0	8	4	8	1.1032621431316	0							1	United Kingdom	UK	UK	54	-2	UK	3	Manhattan, New York, United States	US	USNY	40.7834	-73.9662	971945	20170121	http://lethbridgeherald.com/entertainment/entertainment-news/2017/01/20/thelma-schoonmaker-on-sculpting-silence-and-editing-powell/
619201713	20170121	201701	2017	2017.0575											GOV	PRESIDENT						GOV			0	051	051	05	1	3.4	3	1	3	0.14836795252225	0							1	Mexico	MX	MX	23	-102	MX	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170121	http://www.manitobacooperator.ca/daily/activist-investor-activity-reignites-rail-merger-hopes
619201778	20170121	201701	2017	2017.0575											MED	MEDIA						MED			0	031	031	03	1	5.2	64	31	64	-2.74401758553835	0							4	Gulf Of Mexico, Mexico (general), Mexico	MX	MX00	25	-90	-1683344	2	District of Columbia, United States	US	USDC	38.8964	-77.0262	DC	20170121	http://www.newser.com/article/c1bee3311b354af492a5eb98b204d949/the-latest-217-arrested-6-officers-hurt-in-dc-protests.html
619201804	20170121	201701	2017	2017.0575											MEX	MEXICO	MEX								1	020	020	02	1	3.0	4	1	4	2.69662921348314	0							1	United States	US	US	38	-97	US	1	Mexico	MX	MX	23	-102	MX	20170121	http://www.vogue.com/13523069/best-healthy-snacks-to-beat-afternoon-slump-lalo-gerardo-gonzalez/
619201820	20170121	201701	2017	2017.0575											MNCUSA	GOLDMAN SACHS	USA					MNC			1	062	062	06	2	7.4	1	1	1	1.3986013986014	0							3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	4	Xiaomi, Fujian, China	CH	CH07	25.2225	116.057	10999868	20170121	https://www.theregister.co.uk/2017/01/20/idgs_chinese_child_partnering_to_buy_parent/
619202177	20170121	201701	2017	2017.0575	ARG	ARGENTINA	ARG								USA	UNITED STATES	USA								1	193	193	19	4	-10.0	6	3	6	-0.59887501637059	4	Saltillo, Coahuila de Zaragoza, Mexico	MX	MX07	25.4167	-101	-1694687	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170121	http://www.wwjb.com/2017/01/20/good-luck-america-trumps-inauguration-in-global-headlines/
619202312	20170121	201701	2017	2017.0575	BUS	BANK						BUS			GBR	UNITED KINGDOM	GBR								0	042	042	04	1	1.9	2	1	2	2.76162790697674	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170121	http://www.telegraph.co.uk/news/2017/01/20/nigel-farage-will-made-unofficial-adviser-donald-trump-close/
619202355	20170121	201701	2017	2017.0575	BUS	BOSS						BUS			USAGOV	US GOVERNMENT	USA					GOV			0	036	036	03	1	4.0	32	16	32	-6.43644901263611	2	New Hampshire, United States	US	USNH	43.4108	-71.5653	NH	4	Mexico City, Distrito Federal, Mexico	MX	MX09	19.4342	-99.1386	-1658079	2	New Hampshire, United States	US	USNH	43.4108	-71.5653	NH	20170121	http://www.1045thefox.com/news/national/el-chapo-pleads-not-guilty-to-murder-firearm-and-drug-charges
