619445294	20170115	201701	2017	2017.0411	GBR	BRITISH	GBR								USA	UNITED STATES	USA								1	040	040	04	1	1.0	23	12	20	0.0543837418194026	1	United Kingdom	UK	UK	54	-2	UK	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	20170122	https://www.investing.com/news/world-news/trump-to-meet-with-british-prime-minister-may-next-week:-white-house-454795
619445297	20170115	201701	2017	2017.0411	GBRGOV	UNITED KINGDOM	GBR					GOV			USA	UNITED STATES	USA								1	010	010	01	1	0.0	6	2	6	0.671624971827814	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170122	http://www.politico.com/story/2017/01/uk-prime-minister-theresa-may-to-visit-us-233976
619445299	20170115	201701	2017	2017.0411	GBRGOV	UNITED KINGDOM	GBR					GOV			USA	UNITED STATES	USA								1	040	040	04	1	1.0	49	8	49	-0.270418505324406	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	20170122	https://www.investing.com/news/world-news/trump-to-meet-with-british-prime-minister-may-next-week:-white-house-454795
619445303	20170115	201701	2017	2017.0411	GBRGOVHRI	THERESA MAY	GBR					GOV	HRI		USA	WASHINGTON	USA								1	040	040	04	1	1.0	3	1	3	0.78740157480315	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170122	https://www.yahoo.com/news/trump-meet-prime-minister-may-next-week-white-230809180.html
619445309	20170115	201701	2017	2017.0411	GOV	PRESIDENT						GOV			USA	WASHINGTON	USA								1	010	010	01	1	0.0	8	2	8	0.671624971827814	1	United Kingdom	UK	UK	54	-2	UK	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170122	http://www.politico.com/story/2017/01/uk-prime-minister-theresa-may-to-visit-us-233976
619445315	20170115	201701	2017	2017.0411	MEXGOV	MEXICAN	MEX					GOV			USA	WASHINGTON	USA								1	036	036	03	1	4.0	3	1	3	0.78740157480315	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	20170122	https://www.yahoo.com/news/trump-meet-prime-minister-may-next-week-white-230809180.html
619445320	20170115	201701	2017	2017.0411	USA	UNITED STATES	USA								GBR	BRITISH	GBR								1	040	040	04	1	1.0	13	7	13	-0.143941189396941	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170122	https://www.investing.com/news/world-news/trump-to-meet-with-british-prime-minister-may-next-week:-white-house-454795
619445321	20170115	201701	2017	2017.0411	USA	UNITED STATES	USA								GBRGOV	UNITED KINGDOM	GBR					GOV			1	040	040	04	1	1.0	61	10	59	0.0474631132745343	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20170122	https://www.investing.com/news/world-news/trump-to-meet-with-british-prime-minister-may-next-week:-white-house-454795
619445322	20170115	201701	2017	2017.0411	USA	WASHINGTON	USA								GBRGOVHRI	THERESA MAY	GBR					GOV	HRI		1	036	036	03	1	4.0	3	1	3	0.78740157480315	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170122	https://www.yahoo.com/news/trump-meet-prime-minister-may-next-week-white-230809180.html
619445323	20170115	201701	2017	2017.0411	USA	WASHINGTON	USA								GBRGOVHRI	THERESA MAY	GBR					GOV	HRI		1	040	040	04	1	1.0	3	1	3	0.78740157480315	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170122	https://www.yahoo.com/news/trump-meet-prime-minister-may-next-week-white-230809180.html
619445324	20170115	201701	2017	2017.0411	USA	WASHINGTON	USA								MEXGOV	MEXICAN	MEX					GOV			1	036	036	03	1	4.0	3	1	3	0.78740157480315	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170122	https://www.yahoo.com/news/trump-meet-prime-minister-may-next-week-white-230809180.html
