635700854	20170209	201702	2017	2017.1068	USA	UNITED STATES	USA																		0	080	080	08	2	5.0	80	19	80	-3.84899110790448	3	Union City, Indiana, United States	US	USIN	40.202	-84.8091	445119	0							1	Mexico	MX	MX	23	-102	MX	20170311	http://hosted.ap.org/dynamic/stories/U/US_IMMIGRATION_RELIGIOUS_LEADERS?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-03-10-18-43-23
635701784	20170311	201703	2017	2017.1945	CAN	CANADIAN	CAN																		0	112	112	11	3	-2.0	50	19	50	-3.59107082120906	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	0							1	United States	US	US	38	-97	US	20170311	http://www.channelnewsasia.com/news/world/canada-says-most-border-crossing-asylum-seekers-were-in-us-legal/3586550.html
635701794	20170311	201703	2017	2017.1945	CAN	OTTAWA	CAN								CANGOV	CANADA	CAN					GOV			0	020	020	02	1	3.0	13	12	13	1.25995953842989	3	Houston, Texas, United States	US	USTX	29.7633	-95.3633	1380948	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170311	http://medicinehatnews.com/business/2017/03/10/the-border-the-budget-and-chafing-over-the-centre-federal-politics-this-week/
635701799	20170311	201703	2017	2017.1945	CAN	CANADA	CAN								CANGOV	CANADA	CAN					GOV			1	040	040	04	1	1.0	1	1	1	-1.53846153846154	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170311	http://medicinehatnews.com/news/national-news/2017/03/10/us-canada-perplexed-about-migrant-surge-into-canada-kelly-says/
635701808	20170311	201703	2017	2017.1945	CAN	MANITOBA	CAN								CVL	MIGRANT						CVL			1	043	043	04	1	2.8	96	11	96	-1.42919994077903	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170311	http://medicinehatnews.com/news/national-news/2017/03/10/us-canada-perplexed-about-migrant-surge-into-canada-kelly-says/
635701809	20170311	201703	2017	2017.1945	CAN	MANITOBA	CAN								CVL	MIGRANT						CVL			0	043	043	04	1	2.8	4	2	4	-1.6234448922376	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	20170311	http://medicinehatnews.com/news/national-news/2017/03/10/us-canada-perplexed-about-migrant-surge-into-canada-kelly-says/
635701826	20170311	201703	2017	2017.1945	CAN	CANADA	CAN								NMR	NORTH AMERICA	NMR								1	061	061	06	2	6.4	2	1	2	0.48413125336203	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170311	http://www.thestar.com.my/opinion/columnists/comment/2017/03/11/aseans-next-50-years/
635701832	20170311	201703	2017	2017.1945	CAN	CANADIAN	CAN								USA	UNITED STATES	USA								1	010	010	01	1	0.0	1	1	1	-1.53846153846154	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170311	http://medicinehatnews.com/news/national-news/2017/03/10/us-canada-perplexed-about-migrant-surge-into-canada-kelly-says/
635701833	20170311	201703	2017	2017.1945	CAN	CANADIAN	CAN								USA	UNITED STATES	USA								1	010	010	01	1	0.0	3	1	3	-1.53846153846154	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170311	http://medicinehatnews.com/news/national-news/2017/03/10/us-canada-perplexed-about-migrant-surge-into-canada-kelly-says/
635701835	20170311	201703	2017	2017.1945	CAN	CANADIAN	CAN								USA	UNITED STATES	USA								1	010	010	01	1	0.0	9	3	9	-1.30837846913004	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170311	http://medicinehatnews.com/news/national-news/2017/03/10/us-canada-perplexed-about-migrant-surge-into-canada-kelly-says/
