622011848	20170130	201701	2017	2017.0822											COP	POLICE						COP			1	020	020	02	1	3.0	1	1	1	-3.01850048685492	0							1	India	IN	IN	20	77	IN	3	Bel Air High School, Maryland, United States	US	USMD	39.5298	-76.3469	1698062	20170130	https://www.sott.net/article/341046-Police-State-Woman-walking-near-home-stopped-by-cops-asked-if-she-was-in-country-illegally-then-detained-when-unable-to-produce-ID
622012186	20170130	201701	2017	2017.0822											USA	HOUSTON	USA								0	173	173	17	4	-5.0	6	3	6	-3.38520855371565	0							2	Texas, United States	US	USTX	31.106	-97.6475	TX	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170130	http://www.duquoin.com/news/20170129/latest-trump-defends-order-to-protect-border
622012437	20170130	201701	2017	2017.0822	CAN	CANADIAN	CAN																		1	040	040	04	1	1.0	63	15	63	-2.34477498795767	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170130	http://www.quesnelobserver.com/national/412090623.html
622012451	20170130	201701	2017	2017.0822	CAN	CANADA	CAN																		0	051	051	05	1	3.4	1	1	1	-3.79506641366224	4	Vancouver, British Columbia, Canada	CA	CA02	49.25	-123.133	-575268	0							3	Temple Sholom, New York, United States	US	USNY	40.7483	-73.7089	2080168	20170130	http://www.abbynews.com/news/412089993.html
622012459	20170130	201701	2017	2017.0822	CAN	CANADA	CAN																		0	111	111	11	3	-2.0	2	2	2	-2.5328199966359	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170130	http://lethbridgeherald.com/news/national-news/2017/01/29/amid-confusion-government-clears-up-how-widescale-us-travel-ban-affects-canadians/
622012461	20170130	201701	2017	2017.0822	CAN	CANADA	CAN																		1	172	172	17	4	-5.0	296	37	296	-3.3191600727923	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170130	http://www.shorelinemedia.net/ludington_daily_news/news/world/canada-to-offer-temp-permits-to-those-stranded-by-trump/article_11918275-dc61-5d6c-a11e-f825bf512fa2.html
622012475	20170130	201701	2017	2017.0822	CAN	CANADA	CAN								CANGOVMIL	CANADA	CAN					GOV	MIL		0	020	020	02	1	3.0	20	9	20	-2.10040673732999	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170130	http://www.quesnelobserver.com/national/412090623.html
622012481	20170130	201701	2017	2017.0822	CAN	CANADA	CAN								CVL	TOURIST						CVL			1	043	043	04	1	2.8	31	9	31	-4.29998200150627	4	Ellis Island, Nunavut, Canada	CA	CA14	62.55	-64.9667	-564169	3	Statue Of Liberty, New York, United States	US	USNY	40.689	-74.0443	1934644	3	Statue Of Liberty, New York, United States	US	USNY	40.689	-74.0443	1934644	20170130	http://www.duquoin.com/news/20170129/latest-trump-defends-order-to-protect-border
622012484	20170130	201701	2017	2017.0822	CAN	TORONTO	CAN								CVL	TRAVELER						CVL			1	075	075	07	2	7.0	4	2	4	-3.22580645161291	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170130	http://wbay.com/ap/canada-to-offer-temp-permits-to-those-stranded-by-trump-ban/
622012485	20170130	201701	2017	2017.0822	CAN	TORONTO	CAN								CVL	TRAVELER						CVL			1	075	075	07	2	7.0	6	2	6	-3.22580645161291	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170130	http://wbay.com/ap/canada-to-offer-temp-permits-to-those-stranded-by-trump-ban/
