622821188	20170201	201702	2017	2017.0849											BUS	INDUSTRY						BUS			1	100	100	10	3	-5.0	33	3	33	-4.68665911298144	0							1	Mexico	MX	MX	23	-102	MX	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20170201	http://www.4-traders.com/news/The-Trump-presidency-on-January-31-at-6-35-P-M-EST-2335-GMT--23789021/
622821193	20170201	201702	2017	2017.0849											CAN	CANADA	CAN								0	018	018	01	1	3.4	2	1	2	-7.52212389380531	0							4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170201	http://www.wfmynews2.com/news/nation-now/details-emerging-about-quebec-mosque-shooting-suspect/395086960
622821440	20170201	201702	2017	2017.0849											GOV	KING						GOV			1	192	192	19	4	-9.5	4	1	4	3.12891113892365	0							4	Pescado, Jalisco, Mexico	MX	MX14	21.65	-102.133	-1665361	3	Philadelphia, Pennsylvania, United States	US	USPA	39.9523	-75.1638	1209052	20170201	http://www.timesherald.com/business/20170131/the-taco-truck-rolls-into-savor-at-king-of-prussia-mall
622821572	20170201	201702	2017	2017.0849											MED	BLOG						MED			1	046	046	04	1	7.0	2	1	2	-1.68381665107577	0							1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170201	http://www.jdsupra.com/legalnews/blame-hollywood-a-conversation-with-59474/
622821841	20170201	201702	2017	2017.0849											USA	UNITED STATES	USA								1	060	060	06	2	6.0	24	17	24	-5.28003444565699	0							1	China	CH	CH	35	105	CH	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170201	http://wsau.com/news/articles/2017/jan/31/new-york-art-dealer-avoids-prison-for-80-million-counterfeit-scheme/
622821897	20170201	201702	2017	2017.0849											USA	UNITED STATES	USA								1	190	190	19	4	-10.0	2	1	2	-0.99009900990099	0							1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	20170201	http://www.theglobeandmail.com/report-on-business/economy/economic-insight/canada-must-keep-its-elbows-out-in-any-nafta-renegotiation/article33853207/
622821944	20170201	201702	2017	2017.0849	AFR	AFRICA	AFR																		0	010	010	01	1	0.0	86	2	86	-2.98789972558961	1	United States	US	US	38	-97	US	0							1	China	CH	CH	35	105	CH	20170201	http://www.africaleader.com/index.php/sid/251359665
622822183	20170201	201702	2017	2017.0849	BUS	COMPANY						BUS													1	036	036	03	1	4.0	1	1	1	1.46425495262704	3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	0							4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	20170201	http://freerepublic.com/focus/f-chat/3519788/posts
622822279	20170201	201702	2017	2017.0849	BUS	COMPANY						BUS			GBR	UNITED KINGDOM	GBR								1	036	036	03	1	4.0	2	1	2	1.46425495262704	3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	20170201	http://freerepublic.com/focus/f-chat/3519788/posts
622822305	20170201	201702	2017	2017.0849	BUS	COMPANIES						BUS			LAB	EMPLOYEE						LAB			1	022	022	02	1	3.2	2	1	2	-1.56774916013437	1	United States	US	US	38	-97	US	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20170201	https://durangoherald.com/articles/133078-silicon-valley-finds-its-voice-as-immigration-ban-fuels-outrage
622822373	20170201	201702	2017	2017.0849	CAN	CANADA	CAN																		0	012	012	01	1	-0.4	1	1	1	2.65848670756647	4	Lake Simcoe, Ontario, Canada	CA	CA08	44.45	-79.3333	-573650	0							2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	20170201	http://www.thebarrieexaminer.com/2017/01/31/snowbirds-coming-to-barrie-to-help-celebrate-canadas-birthday
622822392	20170201	201702	2017	2017.0849	CAN	CANADA	CAN																		1	051	051	05	1	3.4	2	1	2	2.65848670756647	2	Georgia, United States	US	USGA	32.9866	-83.6487	GA	0							4	Lake Simcoe, Ontario, Canada	CA	CA08	44.45	-79.3333	-573650	20170201	http://www.thebarrieexaminer.com/2017/01/31/snowbirds-coming-to-barrie-to-help-celebrate-canadas-birthday
622822436	20170201	201702	2017	2017.0849	CAN	CANADA	CAN								EDU	STUDENT						EDU			1	1721	172	17	4	-5.0	29	28	29	-1.07915529884136	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Vancouver, British Columbia, Canada	CA	CA02	49.25	-123.133	-575268	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170201	http://www.brandonsun.com/national/breaking-news/trumps-travel-ban-having-profound-impact-on-research-canadian-academics-say-412345683.html
622822486	20170201	201702	2017	2017.0849	CAN	CANADIAN	CAN								SYR	SYRIAN	SYR								1	172	172	17	4	-5.0	1	1	1	-0.546448087431689	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170201	http://www.japanherald.com/index.php/sid/251351149
