628724204	20170218	201702	2017	2017.1315											GOV	PRESIDENT						GOV			0	190	190	19	4	-10.0	36	18	36	-3.12778030410839	0							1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170218	http://www.financialexpress.com/world-news/tensions-over-donald-trump-deepen-fractures-among-american-jews/556314/
628724412	20170218	201702	2017	2017.1315											USA	WASHINGTON	USA								0	036	036	03	1	4.0	1	1	1	0.213675213675209	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170218	http://www.grandrapidsmn.com/news/northern-lights-community-school-presents-masquerade-murder/article_7de26874-f549-11e6-9591-43db03014e04.html
628724574	20170218	201702	2017	2017.1315											USA	UNITED STATES	USA								1	112	112	11	3	-2.0	1	1	1	-14.5038167938931	0							2	Arizona, United States	US	USAZ	33.7712	-111.388	AZ	1	Canada	CA	CA	60	-95	CA	20170218	http://www.reviewjournal.com/crime/woman-charged-december-2015-fatal-strip-crash-pleads-not-guilty
628724697	20170218	201702	2017	2017.1315	AUS	VICTORIA	AUS								CAN	CANADA	CAN								0	030	030	03	1	4.0	1	1	1	-0.16393442622951	3	Little Rock, Arkansas, United States	US	USAR	34.7465	-92.2896	83350	4	Hudson Bay, Saskatchewan, Canada	CA	CA11	52.85	-102.383	-566434	2	Arkansas, United States	US	USAR	34.9513	-92.3809	AR	20170218	http://www.westender.com/news-issues/news/parks-canada-honours-black-entrepreneur-who-was-one-of-bc-s-founders-1.10070512
628724698	20170218	201702	2017	2017.1315	AUS	VICTORIA	AUS								CAN	CANADA	CAN								0	030	030	03	1	4.0	1	1	1	-0.16393442622951	2	Arkansas, United States	US	USAR	34.9513	-92.3809	AR	4	Hudson Bay, Saskatchewan, Canada	CA	CA11	52.85	-102.383	-566434	4	Hudson Bay, Saskatchewan, Canada	CA	CA11	52.85	-102.383	-566434	20170218	http://www.westender.com/news-issues/news/parks-canada-honours-black-entrepreneur-who-was-one-of-bc-s-founders-1.10070512
628724700	20170218	201702	2017	2017.1315	AUS	VICTORIA	AUS								CAN	CANADA	CAN								0	051	051	05	1	3.4	2	2	2	0.29971217619822	3	Little Rock, Arkansas, United States	US	USAR	34.7465	-92.2896	83350	4	Hudson Bay, Saskatchewan, Canada	CA	CA11	52.85	-102.383	-566434	4	Hudson Bay, Saskatchewan, Canada	CA	CA11	52.85	-102.383	-566434	20170218	http://www.westender.com/news-issues/news/parks-canada-honours-black-entrepreneur-who-was-one-of-bc-s-founders-1.10070512
628724701	20170218	201702	2017	2017.1315	AUS	VICTORIA	AUS								CAN	CANADA	CAN								0	051	051	05	1	3.4	1	1	1	-0.16393442622951	2	Arkansas, United States	US	USAR	34.9513	-92.3809	AR	4	Hudson Bay, Saskatchewan, Canada	CA	CA11	52.85	-102.383	-566434	4	Hudson Bay, Saskatchewan, Canada	CA	CA11	52.85	-102.383	-566434	20170218	http://www.westender.com/news-issues/news/parks-canada-honours-black-entrepreneur-who-was-one-of-bc-s-founders-1.10070512
628724845	20170218	201702	2017	2017.1315	BUS	COMPANIES						BUS			GOV	REGULATOR						GOV			0	012	012	01	1	-0.4	2	2	2	0.158773761125145	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170218	http://www.bostonglobe.com/business/2017/02/17/billion-deal-could-bring-together-makers-velveeta-and-vaseline/h9Qwb1gs5wmBBl4XTc5uyK/story.html
628724921	20170218	201702	2017	2017.1315	CAN	CANADA	CAN																		0	015	015	01	1	0.0	106	53	106	-6.35862371963872	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	0							2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170218	http://www.capebretonpost.com/living/2017/2/17/rest-in-peace-the-politics-of-remembering-the-personal-failings-of-the-dead.html
628725018	20170218	201702	2017	2017.1315	CAN	OTTAWA	CAN								GBR	UNITED KINGDOM	GBR								0	057	057	05	1	8.0	16	8	16	-4.23237767760792	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	Brooklyn, New York, United States	US	USNY	42.3442	-75.1704	944840	20170218	http://www.capebretonpost.com/news/regional/2017/2/17/the-friday-news-briefing-an-at-a-glance-survey-of-some-top-stories.html
