645188174	20170410	201704	2017	2017.2740											GBR	UNITED KINGDOM	GBR								1	190	190	19	4	-10.0	2	1	2	1.24843945068664	0							4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	20170410	http://www.theglobeandmail.com/arts/books-and-media/mystery-writer-colin-dexter-created-the-irascible-inspector-morse/article34646541/
645188634	20170410	201704	2017	2017.2740	BUS	COMPANIES						BUS			USA	UNITED STATES	USA								0	060	060	06	2	6.0	10	1	10	0.45146726862302	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17.3753	78.4744	-2097701	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170410	http://www.thestar.com.my/opinion/columnists/global-trends/2017/04/10/reflections-on-world-health-day-there-is-nothing-as-precious-as-good-health-the-basis-of-life-itself/
645188727	20170410	201704	2017	2017.2740	CHN	CHINA	CHN								BUS	BUSINESS						BUS			0	010	010	01	1	0.0	4	2	4	-0.879765868760735	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Chatham, Virginia, United States	US	USVA	36.8257	-79.3981	1498464	20170410	http://www.martinsvillebulletin.com/news/region_and_state/chatham-man-offered-information-to-lindenburg-investigation-but-no-one/article_835b4d18-a0cf-556c-9bc1-1db74c83b3ad.html
645188734	20170410	201704	2017	2017.2740	CHN	CHINA	CHN								CHNGOV	XI JINPING	CHN					GOV			0	046	046	04	1	7.0	2	1	2	-5.11727078891258	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170410	http://www.news.com.au/world/middle-east/assads-allies-threaten-to-respond-with-force-in-syria/news-story/7d3ee9b884b42a47fca71a3fe545962c
645188735	20170410	201704	2017	2017.2740	CHN	CHINA	CHN								CHNGOV	CHINA	CHN					GOV			0	050	050	05	1	3.5	1	1	1	-2.89343683839097	1	China	CH	CH	35	105	CH	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	20170410	http://www.gettysburgtimes.com/news/state/article_58280a84-771a-5cfd-bb95-0c8579b347b3.html
645188743	20170410	201704	2017	2017.2740	CHN	CHINESE	CHN								GOV	PRESIDENT						GOV			1	040	040	04	1	1.0	2	1	2	0.87064676616916	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170410	http://mareeg.com/xi-trump-meeting-boosts-dynamism-in-china-us-ties/
645188758	20170410	201704	2017	2017.2740	CHN	CHINA	CHN								RUS	RUSSIA	RUS								0	030	030	03	1	4.0	2	1	2	-5.11727078891258	1	China	CH	CH	35	105	CH	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170410	http://www.news.com.au/world/middle-east/assads-allies-threaten-to-respond-with-force-in-syria/news-story/7d3ee9b884b42a47fca71a3fe545962c
645188769	20170410	201704	2017	2017.2740	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	010	010	01	1	0.0	3	3	3	-0.842027420056517	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	North Carolina, United States	US	USNC	35.6411	-79.8431	NC	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170410	http://www.martinsvillebulletin.com/news/region_and_state/chatham-man-offered-information-to-lindenburg-investigation-but-no-one/article_835b4d18-a0cf-556c-9bc1-1db74c83b3ad.html
645188770	20170410	201704	2017	2017.2740	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	013	013	01	1	0.4	2	2	2	-0.879765868760735	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	North Carolina, United States	US	USNC	35.6411	-79.8431	NC	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170410	http://www.martinsvillebulletin.com/news/region_and_state/chatham-man-offered-information-to-lindenburg-investigation-but-no-one/article_835b4d18-a0cf-556c-9bc1-1db74c83b3ad.html
645188772	20170410	201704	2017	2017.2740	CHN	CHINA	CHN								USA	UNITED STATES	USA								0	030	030	03	1	4.0	3	3	3	-0.842027420056517	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	North Carolina, United States	US	USNC	35.6411	-79.8431	NC	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170410	http://www.martinsvillebulletin.com/news/region_and_state/chatham-man-offered-information-to-lindenburg-investigation-but-no-one/article_835b4d18-a0cf-556c-9bc1-1db74c83b3ad.html
