613248559	20170101	201701	2017	2017.0027											CAN	CANADA	CAN								0	036	036	03	1	4.0	1	1	1	-2.79955207166853	0							4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170101	http://infotel.ca/newsitem/year-women-washington/cp1302469298
613248715	20170101	201701	2017	2017.0027											USA	CALIFORNIA	USA								0	1822	182	18	4	-9.0	8	1	8	-5.40045766590389	0							4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	2	California, United States	US	USCA	36.17	-119.746	CA	20170101	http://www.princegeorgecitizen.com/news/local-news/a-list-of-canadians-who-ran-into-trouble-abroad-in-2016-1.4405000
613248717	20170101	201701	2017	2017.0027											USA	CALIFORNIA	USA								0	190	190	19	4	-10.0	8	1	8	-5.40045766590389	0							4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	2	California, United States	US	USCA	36.17	-119.746	CA	20170101	http://www.princegeorgecitizen.com/news/local-news/a-list-of-canadians-who-ran-into-trouble-abroad-in-2016-1.4405000
613248844	20170101	201701	2017	2017.0027	CAN	CANADA	CAN																		1	010	010	01	1	0.0	3	2	3	-0.60306502614195	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170101	https://www.washingtonpost.com/business/f-ross-johnson-former-rjr-nabisco-chief-dies-at-85/2016/12/31/46c13f2c-cf98-11e6-a87f-b917067331bb_story.html
613248850	20170101	201701	2017	2017.0027	CAN	CANADA	CAN																		0	036	036	03	1	4.0	31	16	31	-2.79346312078125	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170101	http://infotel.ca/newsitem/year-women-washington/cp1302469298
613248912	20170101	201701	2017	2017.0027	CHN	CHINA	CHN																		1	061	061	06	2	6.4	12	3	12	-0.64276638694179	1	China	CH	CH	35	105	CH	0							1	United States	US	US	38	-97	US	20170101	http://oilprice.com/Energy/Crude-Oil/US-Exports-Record-Level-Of-Refined-Products.html
613248936	20170101	201701	2017	2017.0027	CHN	CHINA	CHN								USA	UNITED STATES	USA								1	061	061	06	2	6.4	8	3	8	-0.64276638694179	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	1	China	CH	CH	35	105	CH	20170101	http://oilprice.com/Energy/Crude-Oil/US-Exports-Record-Level-Of-Refined-Products.html
613248937	20170101	201701	2017	2017.0027	CHN	CHINA	CHN								USA	UNITED STATES	USA								1	061	061	06	2	6.4	13	4	13	-0.458347187765722	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170101	http://oilprice.com/Energy/Crude-Oil/US-Exports-Record-Level-Of-Refined-Products.html
613248938	20170101	201701	2017	2017.0027	CHN	CHINA	CHN								USAAGR	UNITED STATES	USA					AGR			1	051	051	05	1	3.4	24	11	24	1.17039939078097	3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170101	http://www.ealingtimes.co.uk/news/national/14996525.Star_Wars_fans_weep_as_they_come_together_to_remember_Carrie_Fisher/
613249217	20170101	201701	2017	2017.0027	GBR	UNITED KINGDOM	GBR								COP	POLICE						COP			1	173	173	17	4	-5.0	2	1	2	-10.8614232209738	3	Vidant Medical Center, North Carolina, United States	US	USNC	35.6075	-77.4035	1024472	1	United Kingdom	UK	UK	54	-2	UK	3	Vidant Medical Center, North Carolina, United States	US	USNC	35.6075	-77.4035	1024472	20170101	http://wncn.com/2016/12/31/highly-intoxicated-nc-dad-and-son-stab-each-other-in-15th-call-to-home-in-2016-police-say/
