622409438	20170131	201701	2017	2017.0849											CAN	CANADA	CAN								1	046	046	04	1	7.0	1	1	1	-2.5	0							4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	1	United States	US	US	38	-97	US	20170131	http://lethbridgeherald.com/news/provincial-news/2017/01/30/edmonton-eskimos-sign-defensive-back-thompson-to-contract-extension/
622409439	20170131	201701	2017	2017.0849											CAN	CANADIAN	CAN								1	046	046	04	1	7.0	2	1	2	2.09677419354839	0							1	Canada	CA	CA	60	-95	CA	3	Ellsworth, Iowa, United States	US	USIA	42.3128	-93.5788	456324	20170131	http://agwired.com/category/ippe/
622409450	20170131	201701	2017	2017.0849											CANBUS	CANADIAN	CAN					BUS			1	046	046	04	1	7.0	4	1	4	2.09677419354839	0							1	Canada	CA	CA	60	-95	CA	3	Ellsworth, Iowa, United States	US	USIA	42.3128	-93.5788	456324	20170131	http://agwired.com/category/ippe/
622409550	20170131	201701	2017	2017.0849											GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	1	1	1	-2.63620386643234	0							1	United Kingdom	UK	UK	54	-2	UK	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170131	http://www.newyorker.com/culture/cultural-comment/new-york-stands-up-to-trump
622409739	20170131	201701	2017	2017.0849											MDV	MALE	MDV								0	012	012	01	1	-0.4	4	1	4	-9.13068750605485	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	20170131	http://accesswdun.com/article/2017/1/496152
622409762	20170131	201701	2017	2017.0849											MEX	MEXICAN	MEX								1	036	036	03	1	4.0	40	4	40	-4.86151638945627	0							1	Mexico	MX	MX	23	-102	MX	1	United States	US	US	38	-97	US	20170131	http://www.wilx.com/content/news/Mexico-earmarks-50-million-to-back-migrants-in-US-412201873.html
622410029	20170131	201701	2017	2017.0849											USA	UNITED STATES	USA								0	138	138	13	3	-7.0	8	4	8	-3.88993625603636	0							1	United States	US	US	38	-97	US	1	Mexico	MX	MX	23	-102	MX	20170131	http://www.wtma.com/news/trumps-isolationism-isnt-good-for-business/
622410032	20170131	201701	2017	2017.0849											USA	UNITED STATES	USA								1	140	140	14	3	-6.5	2	1	2	-9.55882352941176	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Kingdom	UK	UK	54	-2	UK	20170131	http://www.onenewspage.com/n/Front+Page/75e21pcd8/Trump-travel-ban-Thousands-join-protests-across-UK.htm
622410208	20170131	201701	2017	2017.0849	AUS	AUSTRALIAN	AUS																		1	1821	182	18	4	-9.0	1	1	1	-1.97368421052632	1	United States	US	US	38	-97	US	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170131	http://hotair.com/archives/2017/01/30/julian-assange-conveniently-forgets-all-those-remarks-about-leaving-the-ecuadorian-embassy/
622410218	20170131	201701	2017	2017.0849	AUS	MURRAY	AUS								CVL	RESIDENTS						CVL			0	020	020	02	1	3.0	2	1	2	-2.91970802919708	1	Mexico	MX	MX	23	-102	MX	2	Wyoming, United States	US	USWY	42.7475	-107.209	WY	2	Wyoming, United States	US	USWY	42.7475	-107.209	WY	20170131	http://www.seattletimes.com/seattle-news/politics/mayor-ed-murray-light-a-candle-to-support-immigrants-refugees/
622410226	20170131	201701	2017	2017.0849	AUS	MURRAY	AUS								CVLEDU	IMMIGRANT						CVL	EDU		0	141	141	14	3	-6.5	1	1	1	-2.91970802919708	1	Mexico	MX	MX	23	-102	MX	2	Wyoming, United States	US	USWY	42.7475	-107.209	WY	1	Mexico	MX	MX	23	-102	MX	20170131	http://www.seattletimes.com/seattle-news/politics/mayor-ed-murray-light-a-candle-to-support-immigrants-refugees/
622410231	20170131	201701	2017	2017.0849	AUS	MURRAY	AUS								GOV	MAYOR						GOV			0	010	010	01	1	0.0	2	1	2	-2.91970802919708	1	Mexico	MX	MX	23	-102	MX	2	Wyoming, United States	US	USWY	42.7475	-107.209	WY	1	Mexico	MX	MX	23	-102	MX	20170131	http://www.seattletimes.com/seattle-news/politics/mayor-ed-murray-light-a-candle-to-support-immigrants-refugees/
622410484	20170131	201701	2017	2017.0849	CAN	CANADA	CAN																		0	020	020	02	1	3.0	48	18	48	-3.14973002427483	1	Canada	CA	CA	60	-95	CA	0							3	Los Angeles International Airport, California, United States	US	USCA	33.9425	-118.409	1653694	20170131	http://www.walb.com/story/34376647/the-latest-trump-signs-executive-order-on-regulations
622410490	20170131	201701	2017	2017.0849	CAN	CANADA	CAN																		0	0311	031	03	1	5.2	3	1	3	-2.27642276422764	1	Canada	CA	CA	60	-95	CA	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170131	http://lethbridgeherald.com/news/national-news/2017/01/30/trump-may-scare-off-new-investment-in-canada-says-manufacturing-group/
622410503	20170131	201701	2017	2017.0849	CAN	CANADA	CAN																		1	046	046	04	1	7.0	3	2	3	-0.833333333333333	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	0							1	United States	US	US	38	-97	US	20170131	http://lethbridgeherald.com/news/provincial-news/2017/01/30/edmonton-eskimos-sign-defensive-back-thompson-to-contract-extension/
622410505	20170131	201701	2017	2017.0849	CAN	CANADIAN	CAN																		1	046	046	04	1	7.0	2	1	2	2.09677419354839	1	Canada	CA	CA	60	-95	CA	0							3	Ellsworth, Iowa, United States	US	USIA	42.3128	-93.5788	456324	20170131	http://agwired.com/category/ippe/
