646922501	20170415	201704	2017	2017.2877											CHN	CHINA	CHN								0	130	130	13	3	-4.4	10	3	8	-3.04510500174277	0							4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170415	http://www.btvi.in/article/read/international/15996/-no-u-s--trading-partners-are-currency-manipulators-
646922643	20170415	201704	2017	2017.2877											JUD	JUDGE						JUD			1	036	036	03	1	4.0	64	8	64	-7.65308222084086	0							2	California, United States	US	USCA	36.17	-119.746	CA	1	Mexico	MX	MX	23	-102	MX	20170415	http://www.ivpressonline.com/news/nation/us-prosecutors-are-geared-to-target-border-crossers/article_52235f0a-98a7-5a6a-9e03-910d6f71267b.html
646922682	20170415	201704	2017	2017.2877											MIL	AIRCRAFT CARRIER						MIL			0	043	043	04	1	2.8	77	55	77	-2.57744729681525	0							3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170415	http://wwmt.com/news/nation-world/trump-strategy-on-north-korea-maximum-pressure-and-engagement
646923146	20170415	201704	2017	2017.2877	BUS	CORPORATION						BUS			USA	AMERICAN	USA								0	010	010	01	1	0.0	1	1	1	0.64773293472845	3	Philadelphia, Pennsylvania, United States	US	USPA	39.9523	-75.1638	1209052	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170415	http://www.harvardmagazine.com/2017/05/lost-museum
646923200	20170415	201704	2017	2017.2877	CHN	CHINA	CHN																		1	010	010	01	1	0.0	1	1	1	0.881057268722463	1	China	CH	CH	35	105	CH	0							3	Atlanta, Georgia, United States	US	USGA	33.749	-84.388	351615	20170415	http://www.globalatlanta.com/tribe-events/trump-effect-future-georgias-economic-ties-china-mexico/
646923245	20170415	201704	2017	2017.2877	CHN	CHINA	CHN								PRK	NORTH KOREA	PRK								0	190	190	19	4	-10.0	1	1	1	-6.55327663831916	1	United States	US	US	38	-97	US	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170415	https://www.slguardian.org/2017/04/chemical-attack-in-syria-and-americas-continued-military-campaign/
646923254	20170415	201704	2017	2017.2877	CHN	CHINA	CHN								USA	UNITED STATES	USA								1	057	057	05	1	8.0	6	2	6	-1.24204030667538	1	China	CH	CH	35	105	CH	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170415	http://dailynht.com/story/28150
646923256	20170415	201704	2017	2017.2877	CHN	CHINA	CHN								USA	AMERICAN	USA								1	120	120	12	3	-4.0	4	1	4	-5.91397849462366	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	1	North Korea	KN	KN	40	127	KN	20170415	http://thelibertarianrepublic.com/northkorea-syria-different-beasts/
646923261	20170415	201704	2017	2017.2877	CHNGOV	XI JINPING	CHN					GOV			CHN	CHINESE	CHN								0	043	043	04	1	2.8	1	1	1	-6.55327663831916	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	1	United States	US	US	38	-97	US	20170415	https://www.slguardian.org/2017/04/chemical-attack-in-syria-and-americas-continued-military-campaign/
646923262	20170415	201704	2017	2017.2877	CHNGOV	XI JINPING	CHN					GOV			CHN	CHINESE	CHN								0	043	043	04	1	2.8	1	1	1	-6.55327663831916	1	United States	US	US	38	-97	US	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170415	https://www.slguardian.org/2017/04/chemical-attack-in-syria-and-americas-continued-military-campaign/
