629206324	20170220	201702	2017	2017.1370											CAN	CANADA	CAN								1	020	020	02	1	3.0	14	14	14	2.03252032520325	0							4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	3	Palm Beach, Florida, United States	US	USFL	26.7056	-80.0364	288390	20170220	http://www.starjournal.net/national/414202213.html
629206327	20170220	201702	2017	2017.1370											CAN	CANADA	CAN								1	042	042	04	1	1.9	1	1	1	0.56369785794813	0							1	United States	US	US	38	-97	US	4	Great Lakes, Canada (general), Canada	CA	CA00	45	-85	-565579	20170220	http://www.jsonline.com/story/news/local/milwaukee/2017/02/19/waukesha-checks-root-river-health-before-lake-michigan-water-diversion/97939854/
629206825	20170220	201702	2017	2017.1370	AUS	AUSTRALIA	AUS								CAN	CANADA	CAN								1	050	050	05	1	3.5	12	2	12	0.93896713615023	1	Mexico	MX	MX	23	-102	MX	1	United States	US	US	38	-97	US	1	Mexico	MX	MX	23	-102	MX	20170220	http://www.queenslandcountrylife.com.au/story/4475809/volatile-world-politics-how-it-might-play-out-for-beef/?cs=4733
629206826	20170220	201702	2017	2017.1370	AUS	AUSTRALIA	AUS								CAN	CANADA	CAN								1	050	050	05	1	3.5	12	2	12	0.93896713615023	1	Mexico	MX	MX	23	-102	MX	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170220	http://www.queenslandcountrylife.com.au/story/4475809/volatile-world-politics-how-it-might-play-out-for-beef/?cs=4733
629206997	20170220	201702	2017	2017.1370	CAN	CANADIAN	CAN								GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	12	1	12	-4.08921933085502	4	Hemmingford, Quebec, Canada	CA	CA10	45.05	-73.6	-566123	1	United States	US	US	38	-97	US	4	Hemmingford, Quebec, Canada	CA	CA10	45.05	-73.6	-566123	20170220	http://ipolitics.ca/2017/02/19/rempel-and-clement-call-on-ottawa-to-stop-illegal-border-crossings/
629206999	20170220	201702	2017	2017.1370	CAN	MONTREAL	CAN								GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	186	24	186	-6.10414712681152	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	1	United States	US	US	38	-97	US	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	20170220	http://www.starjournal.net/national/414203973.html
629207002	20170220	201702	2017	2017.1370	CAN	CANADA	CAN								GOV	REGULATOR						GOV			1	090	090	09	2	-2.0	1	1	1	0.56369785794813	4	Great Lakes, Canada (general), Canada	CA	CA00	45	-85	-565579	1	United States	US	US	38	-97	US	4	Great Lakes, Canada (general), Canada	CA	CA00	45	-85	-565579	20170220	http://www.jsonline.com/story/news/local/milwaukee/2017/02/19/waukesha-checks-root-river-health-before-lake-michigan-water-diversion/97939854/
629207007	20170220	201702	2017	2017.1370	CAN	CANADA	CAN								USA	OREGON	USA								0	071	071	07	2	7.4	2	1	2	-0.18148820326679	4	Columbia River, Canada (general), Canada	CA	CA00	46.25	-124	-562880	2	Oregon, United States	US	USOR	44.5672	-122.127	OR	2	Oregon, United States	US	USOR	44.5672	-122.127	OR	20170220	http://koin.com/2017/02/19/wash-legislators-revisit-i-5-bridge-replacement/
629207010	20170220	201702	2017	2017.1370	CAN	CANADIAN	CAN								USA	UNITED STATES	USA								1	192	192	19	4	-9.5	16	1	16	-4.08921933085502	4	Hemmingford, Quebec, Canada	CA	CA10	45.05	-73.6	-566123	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170220	http://ipolitics.ca/2017/02/19/rempel-and-clement-call-on-ottawa-to-stop-illegal-border-crossings/
629207011	20170220	201702	2017	2017.1370	CAN	MONTREAL	CAN								USA	UNITED STATES	USA								1	192	192	19	4	-9.5	250	25	250	-6.00419376545822	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20170220	http://www.starjournal.net/national/414203973.html
