620371480	20170125	201701	2017	2017.0685											ATH	ATHEIST				ATH					1	042	042	04	1	1.9	10	1	10	0	0							3	El Paso County, Colorado, United States	US	USCO	38.8333	-104.517	198135	3	El Paso County, Colorado, United States	US	USCO	38.8333	-104.517	198135	20170125	http://www.patheos.com/blogs/friendlyatheist/2017/01/24/christian-talk-show-host-and-former-one-term-legislator-wants-another-shot-in-colorado-politics/
620371818	20170125	201701	2017	2017.0685											MOS	ISLAM				MOS					0	040	040	04	1	1.0	8	1	8	1.57790927021697	0							3	New York University, New York, United States	US	USNY	40.7287	-73.996	958483	3	New York University, New York, United States	US	USNY	40.7287	-73.996	958483	20170125	http://www.huffingtonpost.com/entry/mahershala-ali-oscar-nomination_us_5887aa80e4b0441a8f714ddc
620371819	20170125	201701	2017	2017.0685											MOS	ISLAM				MOS					0	040	040	04	1	1.0	2	1	2	1.57790927021697	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170125	http://www.huffingtonpost.com/entry/mahershala-ali-oscar-nomination_us_5887aa80e4b0441a8f714ddc
620372220	20170125	201701	2017	2017.0685	ATH	ATHEIST				ATH															1	043	043	04	1	2.8	10	1	10	0	3	El Paso County, Colorado, United States	US	USCO	38.8333	-104.517	198135	0							3	El Paso County, Colorado, United States	US	USCO	38.8333	-104.517	198135	20170125	http://www.patheos.com/blogs/friendlyatheist/2017/01/24/christian-talk-show-host-and-former-one-term-legislator-wants-another-shot-in-colorado-politics/
620372744	20170125	201701	2017	2017.0685	CHR	CHRISTIAN				CHR															1	040	040	04	1	1.0	1	1	1	9.67741935483871	3	Lake Mills, Iowa, United States	US	USIA	43.4194	-93.5333	458192	0							3	Lake Mills, Iowa, United States	US	USIA	43.4194	-93.5333	458192	20170125	http://www.mnartists.org/content/judges-top-iowa-conference-art-show
620372747	20170125	201701	2017	2017.0685	CHR	CHRISTIAN				CHR					GOV	MINIST						GOV			1	036	036	03	1	4.0	10	1	10	0	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN	35.7449	-86.7489	TN	20170125	http://www.johnsoncitypress.com/Charities-Fundraisers/2017/01/24/East-Tennessee-Christian-Home-holding-Annual-Shoe-Drive.html
620372748	20170125	201701	2017	2017.0685	CHR	CHRISTIAN				CHR					USA	UNITED STATES	USA								1	040	040	04	1	1.0	4	1	4	9.67741935483871	3	Lake Mills, Iowa, United States	US	USIA	43.4194	-93.5333	458192	3	Lake Mills, Iowa, United States	US	USIA	43.4194	-93.5333	458192	3	Lake Mills, Iowa, United States	US	USIA	43.4194	-93.5333	458192	20170125	http://www.mnartists.org/content/judges-top-iowa-conference-art-show
620372749	20170125	201701	2017	2017.0685	CHRCTH	CATHOLIC				CHR	CTH														1	010	010	01	1	0.0	2	1	2	0.22573363431151	3	United Methodist Church, Indiana, United States	US	USIN	41.2039	-87.1975	450031	0							3	Floyd County, Indiana, United States	US	USIN	38.3245	-85.8736	450350	20170125	http://www.newsandtribune.com/news/new-albany-csx-to-upgrade-railroad-crossings/article_eb60daac-e261-11e6-b5c8-d300ea48c625.html
620372750	20170125	201701	2017	2017.0685	CHRCTH	CATHOLIC				CHR	CTH														1	012	012	01	1	-0.4	6	1	6	0.22573363431151	3	New Albany, Indiana, United States	US	USIN	38.2856	-85.8241	440013	0							3	New Albany, Indiana, United States	US	USIN	38.2856	-85.8241	440013	20170125	http://www.newsandtribune.com/news/new-albany-csx-to-upgrade-railroad-crossings/article_eb60daac-e261-11e6-b5c8-d300ea48c625.html
620372753	20170125	201701	2017	2017.0685	CHRCTH	CATHOLIC				CHR	CTH														0	120	120	12	3	-4.0	2	1	2	-0.42194092827004	3	Ephrata, Pennsylvania, United States	US	USPA	40.1798	-76.1788	1174287	0							3	Ephrata, Pennsylvania, United States	US	USPA	40.1798	-76.1788	1174287	20170125	http://lancasteronline.com/features/faith_values/lancaster-county-has-long-been-a-place-where-people-of/article_6128c166-e1ac-11e6-9a31-0b9b9ee70ee0.html
