614220396	20170105	201701	2017	2017.0137											CHRPRO	METHODIST CHURCH				CHR	PRO				1	040	040	04	1	1.0	4	2	4	1.32890365448504	0							3	Houston, Texas, United States	US	USTX	29.7633	-95.3633	1380948	3	Houston, Texas, United States	US	USTX	29.7633	-95.3633	1380948	20170105	http://www.khou.com/news/local/oil-gas/laid-off-oil-and-gas-workers-optimistic-about-2017/382159224
614220877	20170105	201701	2017	2017.0137											nav	NAVAJO			nav						1	046	046	04	1	7.0	6	1	6	-3.92561983471074	0							3	Grand Canyon, Arizona, United States	US	USAZ	36.0544	-112.139	5213	3	Grand Canyon, Arizona, United States	US	USAZ	36.0544	-112.139	5213	20170105	https://durangoherald.com/articles/125846-arizona-coal-fired-plant-could-close
614220884	20170105	201701	2017	2017.0137	AFR	AFRICA	AFR								CHRPRO230	METHODIST				CHR	PRO				1	018	018	01	1	3.4	42	17	42	-7.48120649687871	3	Charleston, South Carolina, United States	US	USSC	32.7766	-79.9309	1221516	3	Charleston, South Carolina, United States	US	USSC	32.7766	-79.9309	1221516	3	Charleston, South Carolina, United States	US	USSC	32.7766	-79.9309	1221516	20170105	http://www.wrcbtv.com/story/34180843/the-latest-judge-agrees-with-roof-nixes-prosecutor-exhibit
614220885	20170105	201701	2017	2017.0137	AFR	AFRICA	AFR								JEW	JEWISH				JEW					0	111	111	11	3	-2.0	4	1	4	-6.34484677234592	3	Emanuel African Methodist Episcopal Church, New York, United States	US	USNY	40.9504	-73.8251	2062961	3	Emanuel African Methodist Episcopal Church, New York, United States	US	USNY	40.9504	-73.8251	2062961	3	Emanuel African Methodist Episcopal Church, New York, United States	US	USNY	40.9504	-73.8251	2062961	20170105	https://www.bostonglobe.com/news/nation/2017/01/04/dylann-roof-addressing-court-offers-apology-explanation-for-massacre/u7lJlwvG2Cqe5WVNZj8u6I/story.html
614220916	20170105	201701	2017	2017.0137	ATH	ATHEIST				ATH															1	014	014	01	1	0.0	10	2	10	-0.95930914722861	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170105	http://www.wfaa.com/news/nation/is-mark-zuckerberg-considering-white-house-run/382179252
614220917	20170105	201701	2017	2017.0137	ATH	ATHEIST				ATH					GOV	PRESIDENT						GOV			1	014	014	01	1	0.0	10	2	10	-0.95930914722861	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170105	http://www.wfaa.com/news/nation/is-mark-zuckerberg-considering-white-house-run/382179252
614221337	20170105	201701	2017	2017.0137	CHRCTH	CATHOLIC				CHR	CTH														1	020	020	02	1	3.0	118	1	70	2.38752647245775	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	0							3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	20170105	http://wakefield.wickedlocal.com/news/20170104/malden-catholic-looks-to-open-new-division-for-girls
614221338	20170105	201701	2017	2017.0137	CHRCTH	CATHOLIC				CHR	CTH														1	020	020	02	1	3.0	38	1	38	2.3771561175367	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	0							2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	20170105	http://wakefield.wickedlocal.com/news/20170104/malden-catholic-looks-to-open-new-division-for-girls
614221339	20170105	201701	2017	2017.0137	CHRCTH	CATHOLIC				CHR	CTH														1	031	031	03	1	5.2	54	1	54	2.38752647245775	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	0							3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	20170105	http://wakefield.wickedlocal.com/news/20170104/malden-catholic-looks-to-open-new-division-for-girls
614221341	20170105	201701	2017	2017.0137	CHRCTH	CATHOLIC				CHR	CTH				USA	BOSTON	USA								0	010	010	01	1	0.0	70	1	70	2.38752647245775	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	20170105	http://wakefield.wickedlocal.com/news/20170104/malden-catholic-looks-to-open-new-division-for-girls
