618482340	20170112	201701	2017	2017.0329	USA	AMERICAN	USA								MOS	MUSLIM				MOS					1	051	051	05	1	3.4	6	1	6	-1.17096018735363	3	El Paso County, Colorado, United States	US	USCO	38.8333	-104.517	198135	3	El Paso County, Colorado, United States	US	USCO	38.8333	-104.517	198135	3	El Paso County, Colorado, United States	US	USCO	38.8333	-104.517	198135	20170119	https://fromthestyx.wordpress.com/2017/01/18/support-whistleblower-leslie-weise/
618482341	20170112	201701	2017	2017.0329	USA	UNITED STATES	USA								MOS	MUSLIM				MOS					1	051	051	05	1	3.4	2	1	2	-1.17096018735363	3	Colorado Springs, Colorado, United States	US	USCO	38.8339	-104.821	204797	3	Colorado Springs, Colorado, United States	US	USCO	38.8339	-104.821	204797	3	Colorado Springs, Colorado, United States	US	USCO	38.8339	-104.821	204797	20170119	https://fromthestyx.wordpress.com/2017/01/18/support-whistleblower-leslie-weise/
618482741	20170119	201701	2017	2017.0521											MOS	MUSLIM				MOS					0	100	100	10	3	-5.0	426	71	426	1.16448326055313	0							3	Lewisburg, Pennsylvania, United States	US	USPA	40.9645	-76.8844	1213630	3	Lewisburg, Pennsylvania, United States	US	USPA	40.9645	-76.8844	1213630	20170119	http://www.register-news.com/cnhi_network/from-all-across-the-political-spectrum-thousands-head-to-washington/article_4016f527-cb50-5105-972f-ab1415798356.html
618482742	20170119	201701	2017	2017.0521											MOS	MUSLIM				MOS					0	100	100	10	3	-5.0	142	71	142	1.16448326055313	0							3	Effingham, Illinois, United States	US	USIL	39.12	-88.5434	407809	3	Effingham, Illinois, United States	US	USIL	39.12	-88.5434	407809	20170119	http://www.register-news.com/cnhi_network/from-all-across-the-political-spectrum-thousands-head-to-washington/article_4016f527-cb50-5105-972f-ab1415798356.html
618482743	20170119	201701	2017	2017.0521											MOS	MUSLIM				MOS					0	100	100	10	3	-5.0	142	71	142	1.16448326055313	0							2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	20170119	http://www.register-news.com/cnhi_network/from-all-across-the-political-spectrum-thousands-head-to-washington/article_4016f527-cb50-5105-972f-ab1415798356.html
618483150	20170119	201701	2017	2017.0521											cad	CADDO			cad						0	173	173	17	4	-5.0	6	1	6	-7.12136409227683	0							3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	3	Watsonville, California, United States	US	USCA	36.9102	-121.757	1660138	20170119	http://theothermccain.com/2017/01/17/the-womensmarch-on-washington-like-seinfeld-its-a-show-about-nothing/comment-page-1/
618483151	20170119	201701	2017	2017.0521											cad	CADDO			cad						0	1821	182	18	4	-9.0	6	1	6	-7.12136409227683	0							3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	3	Watsonville, California, United States	US	USCA	36.9102	-121.757	1660138	20170119	http://theothermccain.com/2017/01/17/the-womensmarch-on-washington-like-seinfeld-its-a-show-about-nothing/comment-page-1/
618483152	20170119	201701	2017	2017.0521											chy	CHEYENNE			chy						1	042	042	04	1	1.9	6	1	6	-3.27868852459017	0							2	Texas, United States	US	USTX	31.106	-97.6475	TX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170119	http://sanangelolive.com/news/health/2017-01-18/3d-mammography-now-available-shannon-imaging-center
618483153	20170119	201701	2017	2017.0521											nav	NAVAJO			nav						1	173	173	17	4	-5.0	196	20	196	-3.69090549555212	0							2	New Mexico, United States	US	USNM	34.8375	-106.237	NM	2	New Mexico, United States	US	USNM	34.8375	-106.237	NM	20170119	http://www.fairfieldcitizenonline.com/news/crime/article/Slain-girl-s-father-sues-Navajos-over-lack-of-10866006.php
618483724	20170119	201701	2017	2017.0521	CHR	CHRISTIAN				CHR															1	020	020	02	1	3.0	5	1	5	0.23529411764706	3	Dallas, Texas, United States	US	USTX	32.7831	-96.8067	1380944	0							3	Dallas, Texas, United States	US	USTX	32.7831	-96.8067	1380944	20170119	http://www.dallasnews.com/opinion/commentary/2017/01/18/citizens-owe-donald-trump
618483725	20170119	201701	2017	2017.0521	CHR	CHRISTIAN				CHR															0	051	051	05	1	3.4	20	1	20	0.36572622779519	3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	0							3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	20170119	http://spectrummagazine.org/article/2017/01/18/reinder-bruinsma-%E2%80%9C-long-shepherd-same-it-doesn%E2%80%99t-matter-sheep-are-not-clones%E2%80%9D
