614835706	20160108	201601	2016	2016.0219											GBR	LONDON	GBR								0	036	036	03	1	4.0	6	1	6	-6.21814475025484	0							1	United States	US	US	38	-97	US	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170107	http://www.brecorder.com/weekend-magazine/0:/121077:dog-fight-start-ups-take-aim-at-errant-drones/
614835719	20160108	201601	2016	2016.0219	GBR	LONDON	GBR																		0	036	036	03	1	4.0	2	1	2	-6.21814475025484	1	United States	US	US	38	-97	US	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170107	http://www.brecorder.com/weekend-magazine/0:/121077:dog-fight-start-ups-take-aim-at-errant-drones/
614835814	20170107	201701	2017	2017.0192											CAN	CANADA	CAN								0	042	042	04	1	1.9	1	1	1	-4.97017892644135	0							4	Pictou, Nova Scotia, Canada	CA	CA07	45.6667	-62.7	-571268	3	Miami, Florida, United States	US	USFL	25.7743	-80.1937	295004	20170107	http://www.ngnews.ca/news/local/2017/1/6/breaking--multiple-people-shot-at-florida-airport--reports-say.html
614836028	20170107	201701	2017	2017.0192											MEX	MEXICO CITY	MEX								1	031	031	03	1	5.2	1	1	1	0.27434842249657	0							1	United States	US	US	38	-97	US	4	Mexico City, Distrito Federal, Mexico	MX	MX09	19.4342	-99.1386	-1658079	20170107	http://www.4-traders.com/FOMENTO-DE-CONSTRUCCIONES-74234/news/Fomento-de-Construcciones-y-Contratas-The-Grupo-Carso-consortium-which-includes-FCC-has-been-awa-23656092/
614836120	20170107	201701	2017	2017.0192											USA	UNITED STATES	USA								0	036	036	03	1	4.0	17	6	17	-4.060060038823	0							2	Florida, United States	US	USFL	27.8333	-81.717	FL	1	Canada	CA	CA	60	-95	CA	20170107	http://www.wsbradio.com/news/news/national/what-we-know-about-fort-lauderdale-airport-shooter/ntWGX/
614836371	20170107	201701	2017	2017.0192	BUS	COMPANIES						BUS													1	040	040	04	1	1.0	2	1	2	2.23964165733483	1	Canada	CA	CA	60	-95	CA	0							1	United States	US	US	38	-97	US	20170107	http://www.piworld.com/article/search-next-generation/
614836462	20170107	201701	2017	2017.0192	CAN	CANADA	CAN																		0	043	043	04	1	2.8	2	1	2	-4.97017892644135	4	Pictou, Nova Scotia, Canada	CA	CA07	45.6667	-62.7	-571268	0							3	Fort Lauderdale, Florida, United States	US	USFL	26.1223	-80.1434	282693	20170107	http://www.ngnews.ca/news/local/2017/1/6/breaking--multiple-people-shot-at-florida-airport--reports-say.html
614836463	20170107	201701	2017	2017.0192	CAN	CANADA	CAN																		1	043	043	04	1	2.8	83	25	83	-5.05315208921667	1	Canada	CA	CA	60	-95	CA	0							3	Fort Lauderdale, Florida, United States	US	USFL	26.1223	-80.1434	282693	20170107	http://www.cbncompass.ca/news/local/2017/1/6/breaking--multiple-people-shot-at-florida-airport--reports-say.html
614836503	20170107	201701	2017	2017.0192	CAN	CANADA	CAN								GOV	EMBASSY						GOV			1	040	040	04	1	1.0	2	1	2	-9.375	1	Canada	CA	CA	60	-95	CA	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170107	http://newsok.com/embassy-spokeswoman-florida-airport-shooting-suspect-has-no-connection-to-canada-did-not-fly-from-that-country/article/feed/1144341
614836520	20170107	201701	2017	2017.0192	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	043	043	04	1	2.8	2	1	2	-4.97017892644135	4	Pictou, Nova Scotia, Canada	CA	CA07	45.6667	-62.7	-571268	3	Fort Lauderdale, Florida, United States	US	USFL	26.1223	-80.1434	282693	4	Pictou, Nova Scotia, Canada	CA	CA07	45.6667	-62.7	-571268	20170107	http://www.ngnews.ca/news/local/2017/1/6/breaking--multiple-people-shot-at-florida-airport--reports-say.html
