641353857	20170329	201703	2017	2017.2438											GBR	LONDON	GBR								0	043	043	04	1	2.8	3	1	3	-3.55892648774795	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	1	United States	US	US	38	-97	US	20170329	http://www.thepropertypin.com/./viewtopic.php?f=10&p=908791
641353920	20170329	201703	2017	2017.2438											IGOEUREEC	THE EU	EUR	EEC				IGO			0	061	061	06	2	6.4	2	1	2	-5	0							2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	1	China	CH	CH	35	105	CH	20170329	http://1049maxcountry.com/agricultural/rabobank-releases-report-on-effects-of-a-chinese-u-s-trade-dispute/
641354139	20170329	201703	2017	2017.2438											USA	UNITED STATES	USA								1	036	036	03	1	4.0	2	1	2	1.82421227197346	0							3	San Diego, California, United States	US	USCA	32.7153	-117.157	1661377	4	Mexico City, Distrito Federal, Mexico	MX	MX09	19.4342	-99.1386	-1658079	20170329	http://www.kpbs.org/news/2017/mar/28/san-diego-gains-role-mexicos-legislative-process/
641354434	20170329	201703	2017	2017.2438	BGD	DHAKA	BGD								BGDELI	KHALEDA ZIA	BGD					ELI			0	090	090	09	2	-2.0	2	1	2	-3.0514385353095	5	Essex, Essex, United Kingdom	UK	UKE4	51.8333	0.583333	-2595724	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170329	http://www.aninews.in/newsdetail-NA/MzA2MzA0/trump-signs-overhauling-order-on-039-energy-independence-policy-039-.html
641354733	20170329	201703	2017	2017.2438	CAN	CANADA	CAN								REL	PRIEST									1	017	017	01	1	0.0	1	1	1	4.25531914893617	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170329	http://www.wbaltv.com/article/funeral-mass-held-for-william-cardinal-keeler/9198311
641354737	20170329	201703	2017	2017.2438	CAN	CANADA	CAN								USA	BOSTON	USA								1	013	013	01	1	0.4	1	1	1	1.79282868525896	4	Mount Hector, Alberta, Canada	CA	CA01	51.5667	-116.25	-566098	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	20170329	http://www.martinsvillebulletin.com/news/doctor-who-grew-up-in-richmond-killed-in-avalanche-in/article_7b0f3852-baf8-5890-9778-99f4a95a50c4.html
641354738	20170329	201703	2017	2017.2438	CAN	CANADA	CAN								USA	BOSTON	USA								1	013	013	01	1	0.4	1	1	1	1.79282868525896	4	Mount Hector, Alberta, Canada	CA	CA01	51.5667	-116.25	-566098	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	20170329	http://www.martinsvillebulletin.com/news/doctor-who-grew-up-in-richmond-killed-in-avalanche-in/article_7b0f3852-baf8-5890-9778-99f4a95a50c4.html
641354739	20170329	201703	2017	2017.2438	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	-1.27118644067797	1	Canada	CA	CA	60	-95	CA	2	Texas, United States	US	USTX	31.106	-97.6475	TX	1	Canada	CA	CA	60	-95	CA	20170329	https://www.wilsoncountynews.com/news/2017-03-29/Agriculture_and_Outdoors/Monarch_numbers_down_again.html
641354740	20170329	201703	2017	2017.2438	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	-1.27118644067797	1	Mexico	MX	MX	23	-102	MX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	1	Mexico	MX	MX	23	-102	MX	20170329	https://www.wilsoncountynews.com/news/2017-03-29/Agriculture_and_Outdoors/Monarch_numbers_down_again.html
641354741	20170329	201703	2017	2017.2438	CAN	CANADA	CAN								USA	FLORIDA	USA								0	090	090	09	2	-2.0	8	1	8	-1.25266825840946	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	Florida Keys, Florida, United States	US	USFL	24.6671	-81.5831	294585	20170329	http://www.castanet.net/edition/news-story-192895-4-.htm
