633000027	20070306	200703	2007	2007.1808	MEX	MEXICO	MEX								USA	UNITED STATES	USA								1	051	051	05	1	3.4	5	1	5	-3.34572490706319	4	La Fiesta, Coahuila de Zaragoza, Mexico	MX	MX07	28.6167	-100.65	-1674405	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170303	http://www.nydailynews.com/news/national/mexican-immigrant-arrested-ice-illinois-town-released-article-1.2987457
633000093	20160303	201603	2016	2016.1726	USA	MISSOURI	USA																		1	017	017	01	1	0.0	1	1	1	1.78870877585243	2	Missouri, United States	US	USMO	38.4623	-92.302	MO	0							1	Canada	CA	CA	60	-95	CA	20170303	http://stlouisreview.com/article/2017-03-02/one-one-care
633000131	20170201	201702	2017	2017.0849	MEX	MEXICAN	MEX								USA	UNITED STATES	USA								1	0841	084	08	2	7.0	2	2	2	1.78846746839346	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170303	http://www.bentoneveningnews.com/article/20170302/news/170309950/
633000133	20170201	201702	2017	2017.0849	MEX	MEXICAN	MEX								USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	1.44927536231884	1	Mexico	MX	MX	23	-102	MX	3	West Frankfort, New York, United States	US	USNY	43.0878	-75.1654	969228	3	West Frankfort, New York, United States	US	USNY	43.0878	-75.1654	969228	20170303	http://www.bentoneveningnews.com/article/20170302/news/170309950/
633000140	20170201	201702	2017	2017.0849	USA	UNITED STATES	USA								MEX	MEXICO	MEX								0	051	051	05	1	3.4	3	1	3	1.50289017341041	3	Pomona, California, United States	US	USCA	34.0553	-117.752	1661247	4	Cuernavaca, Morelos, Mexico	MX	MX17	18.9167	-99.25	-1660131	4	Cuernavaca, Morelos, Mexico	MX	MX17	18.9167	-99.25	-1660131	20170303	http://www.dailybulletin.com/lifestyle/20170302/inland-valley-readers-restaurant-obsessions-revealed
633000141	20170201	201702	2017	2017.0849	USA	UNITED STATES	USA								MEX	MEXICO	MEX								0	051	051	05	1	3.4	2	1	2	1.50289017341041	3	Pomona, California, United States	US	USCA	34.0553	-117.752	1661247	4	Cuernavaca, Morelos, Mexico	MX	MX17	18.9167	-99.25	-1660131	3	Pomona, California, United States	US	USCA	34.0553	-117.752	1661247	20170303	http://www.dailybulletin.com/lifestyle/20170302/inland-valley-readers-restaurant-obsessions-revealed
633000173	20170302	201703	2017	2017.1699	GBR	UNITED KINGDOM	GBR								USA	NEW YORK	USA								0	141	141	14	3	-6.5	4	1	4	-0.33333333333334	1	United Kingdom	UK	UK	54	-2	UK	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	United Kingdom	UK	UK	54	-2	UK	20170303	https://www.desmogblog.com/user/zach-roberts
633000429	20170303	201703	2017	2017.1726											GOV	KING						GOV			1	042	042	04	1	1.9	6	1	6	-2.94117647058824	0							3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	1	United Kingdom	UK	UK	54	-2	UK	20170303	http://www.tv.com/news/leah-remini-to-lead-nbcs-what-about-bob-reboot-14884857200062096/
633000771	20170303	201703	2017	2017.1726											USA	UNITED STATES	USA								0	042	042	04	1	1.9	1	1	1	1.50289017341041	0							3	Pomona, California, United States	US	USCA	34.0553	-117.752	1661247	4	Cuernavaca, Morelos, Mexico	MX	MX17	18.9167	-99.25	-1660131	20170303	http://www.dailybulletin.com/lifestyle/20170302/inland-valley-readers-restaurant-obsessions-revealed
633001379	20170303	201703	2017	2017.1726	CAN	CANADA	CAN								FRA	PARIS	FRA								0	050	050	05	1	3.5	35	35	35	-0.677426633572694	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Paris, France (general), France	FR	FR00	48.8667	2.33333	-1456928	20170303	http://www.kelownacapnews.com/national/415263884.html
633001391	20170303	201703	2017	2017.1726	CAN	TORONTO	CAN								GOV	PRESIDENT						GOV			0	051	051	05	1	3.4	1111	139	1111	-1.90671679494313	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170303	http://m.philstar.com/314190/show/867ecd32ed8fdbbf4c332bda6136151d?t=09bl41hrf0venfnu5lhj7919q7
633001392	20170303	201703	2017	2017.1726	CAN	TORONTO	CAN								GOV	PRESIDENT						GOV			0	051	051	05	1	3.4	7	7	7	-1.1356992511356	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170303	http://www.cnsnews.com/news/article/trump-slump-signs-drop-international-tourism-us
633001396	20170303	201703	2017	2017.1726	CAN	TORONTO	CAN								GOV	PRESIDENT						GOV			0	163	163	16	4	-8.0	1268	139	1268	-1.90671679494313	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170303	http://m.philstar.com/314190/show/867ecd32ed8fdbbf4c332bda6136151d?t=09bl41hrf0venfnu5lhj7919q7
633001397	20170303	201703	2017	2017.1726	CAN	TORONTO	CAN								GOV	PRESIDENT						GOV			0	163	163	16	4	-8.0	14	7	14	-1.1356992511356	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	20170303	http://www.cnsnews.com/news/article/trump-slump-signs-drop-international-tourism-us
633001401	20170303	201703	2017	2017.1726	CAN	OTTAWA	CAN								LEG	LEGISLATOR						LEG			0	100	100	10	3	-5.0	160	16	160	0.612984323597626	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	2	Kansas, United States	US	USKS	38.5111	-96.8005	KS	20170303	http://www.salina.com/news/state/the-latest-kansas-governor-calls-for-school-choice-measures/article_749fa8cc-d9a4-5948-8c6d-5ae6845f0fbd.html
