642673163	20170402	201704	2017	2017.2521											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	8	1	8	-0.123456790123456	0							4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	20170402	http://www.qconline.com/news/local/vintage-tractor-auction-brings-memories-thousands-to-fairgrounds/article_10cbf5c0-7695-5769-80dc-0603d24944e0.html
642673322	20170402	201704	2017	2017.2521											USA	UNITED STATES	USA								0	043	043	04	1	2.8	15	15	15	-3.5395019863527	0							3	Maury County, Tennessee, United States	US	USTN	35.6334	-87.0667	1639772	1	Mexico	MX	MX	23	-102	MX	20170402	http://texasthunderradio.com/new-images-of-tennessee-teen-allegedly-abducted-by-teacher-give-hope-to-girls-family/
642673884	20170402	201704	2017	2017.2521	GBR	UNITED KINGDOM	GBR																		1	043	043	04	1	2.8	8	1	8	-0.123456790123456	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	0							2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	20170402	http://www.qconline.com/news/local/vintage-tractor-auction-brings-memories-thousands-to-fairgrounds/article_10cbf5c0-7695-5769-80dc-0603d24944e0.html
642674038	20170402	201704	2017	2017.2521	GOV	PRESIDENT						GOV			CAN	CANADA	CAN								1	036	036	03	1	4.0	128	64	128	0	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170402	http://wgme.com/news/entertainment/trudeau-jokes-hell-fight-actor-matthew-perry-in-rematch
642674101	20170402	201704	2017	2017.2521	GOV	ADMINISTRATION						GOV			MNCUSA	GOLDMAN SACHS	USA					MNC			0	020	020	02	1	3.0	42	7	42	-0.310543993771114	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20170402	http://ksn.com/2017/04/01/trump-advisers-richer-than-previous-white-house-officials/
642674137	20170402	201704	2017	2017.2521	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								1	036	036	03	1	4.0	256	64	256	0	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170402	http://wgme.com/news/entertainment/trudeau-jokes-hell-fight-actor-matthew-perry-in-rematch
642674161	20170402	201704	2017	2017.2521	GOV	PRESIDENT						GOV			USAGOV	THE WHITE HOUSE	USA					GOV			1	036	036	03	1	4.0	128	64	128	0	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170402	http://wgme.com/news/entertainment/trudeau-jokes-hell-fight-actor-matthew-perry-in-rematch
642675019	20170402	201704	2017	2017.2521	USA	UNITED STATES	USA																		0	042	042	04	1	1.9	15	15	15	-3.5395019863527	3	Maury County, Tennessee, United States	US	USTN	35.6334	-87.0667	1639772	0							1	Mexico	MX	MX	23	-102	MX	20170402	http://texasthunderradio.com/new-images-of-tennessee-teen-allegedly-abducted-by-teacher-give-hope-to-girls-family/
642675259	20170402	201704	2017	2017.2521	USA	UNITED STATES	USA								GBR	UNITED KINGDOM	GBR								1	020	020	02	1	3.0	8	1	8	-0.123456790123456	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	20170402	http://www.qconline.com/news/local/vintage-tractor-auction-brings-memories-thousands-to-fairgrounds/article_10cbf5c0-7695-5769-80dc-0603d24944e0.html
642675375	20170402	201704	2017	2017.2521	USA	UNITED STATES	USA								MEX	MEXICO	MEX								1	173	173	17	4	-5.0	2	2	2	-5.11627906976744	2	District of Columbia, United States	US	USDC	38.8964	-77.0262	DC	4	Ciudad Juarez, Méco, Mexico	MX	MX15	31.7333	-106.483	-1658093	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20170402	http://www.thehour.com/technology/businessinsider/article/Mexico-may-be-using-another-cartel-kingpin-to-11034512.php
