636884613	20170213	201702	2017	2017.1178	GOV	PRESIDENT						GOV			MED	MEDIA						MED			1	040	040	04	1	1.0	30	3	30	0.526942147656983	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170315	http://www.chinadaily.com.cn/world/2017-03/15/content_28559327.htm
636884624	20170213	201702	2017	2017.1178	MEX	MEXICAN	MEX								GOV	AUTHORITIES						GOV			0	120	120	12	3	-4.0	7	7	7	-2.95437465303088	1	Mexico	MX	MX	23	-102	MX	3	Denver, Colorado, United States	US	USCO	39.7392	-104.985	201738	3	Denver, Colorado, United States	US	USCO	39.7392	-104.985	201738	20170315	http://www.ccenterdispatch.com/news/state/article_27242bd3-c90e-5569-b57b-066103730a64.html
636884785	20170315	201703	2017	2017.2055											CHN	CHINA	CHN								1	057	057	05	1	8.0	1	1	1	-2.66990291262136	0							1	United States	US	US	38	-97	US	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20170315	http://dailytimes.com.pk/editorial/15-Mar-17/indias-saffron-king
636885084	20170315	201703	2017	2017.2055											UAF	TERRORIST						UAF			0	130	130	13	3	-4.4	1	1	1	-1.32575757575758	0							1	Mexico	MX	MX	23	-102	MX	2	Iowa, United States	US	USIA	42.0046	-93.214	IA	20170315	http://www.desmoinesregister.com/story/opinion/columnists/rekha-basu/2017/03/14/basu-steve-king-reappears-remind-us-hes-one-setting-iowa-back/99168566/
636885133	20170315	201703	2017	2017.2055											USA	UNITED STATES	USA								1	042	042	04	1	1.9	6	1	6	3.49650349650349	0							3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	1	India	IN	IN	20	77	IN	20170315	http://ca.hellomagazine.com/celebrities/02017031434083/priyanka-chopra-celebrates-holi-on-the-tonight-show
636885539	20170315	201703	2017	2017.2055	BUS	COMPANIES						BUS			GOV	PRESIDENT						GOV			1	010	010	01	1	0.0	24	3	24	-1.11111111111111	1	United States	US	US	38	-97	US	4	Puebla, Puebla, Mexico	MX	MX21	19.05	-98.2	-1690063	1	United States	US	US	38	-97	US	20170315	http://www.heraldsun.com.au/news/breaking-news/mexican-company-wants-to-light-trump-wall/news-story/84c95a70f5b030264d8f1c9451cfb1e4?nk=b9e16a62b12cf5f792a89cbe1816a47b-1489535279
636885550	20170315	201703	2017	2017.2055	BUS	COMPANIES						BUS			MEXGOV	MEXICO	MEX					GOV			1	010	010	01	1	0.0	8	3	8	-1.11111111111111	4	Puebla, Puebla, Mexico	MX	MX21	19.05	-98.2	-1690063	1	United States	US	US	38	-97	US	4	Puebla, Puebla, Mexico	MX	MX21	19.05	-98.2	-1690063	20170315	http://www.heraldsun.com.au/news/breaking-news/mexican-company-wants-to-light-trump-wall/news-story/84c95a70f5b030264d8f1c9451cfb1e4?nk=b9e16a62b12cf5f792a89cbe1816a47b-1489535279
636885676	20170315	201703	2017	2017.2055	CANGOV	YUKON	CAN					GOV													1	020	020	02	1	3.0	1	1	1	1.82767624020887	2	Alaska, United States	US	USAK	61.385	-152.268	AK	0							4	Rossland, British Columbia, Canada	CA	CA02	49.0833	-117.817	-572508	20170315	http://rosslandtelegraph.com/news/peel-intact-wilderness-hedge-against-our-ignorance-44016
636885699	20170315	201703	2017	2017.2055	CHN	HANGZHOU	CHN																		1	010	010	01	1	0.0	10	1	10	3.6101083032491	2	Texas, United States	US	USTX	31.106	-97.6475	TX	0							4	Zhima, Gansu, China	CH	CH15	33.1659	104.798	10649486	20170315	http://www.marketwatch.com/story/ant-financial-comments-on-definitive-agreement-with-moneygram-2017-03-14
636885760	20170315	201703	2017	2017.2055	CHN	CHINA	CHN								USA	UNITED STATES	USA								1	043	043	04	1	2.8	26	4	26	1.54430328367902	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170315	http://english.donga.com/Home/3/all/26/871961/1
636885771	20170315	201703	2017	2017.2055	CHNGOV	CHINA	CHN					GOV			USA	UNITED STATES	USA								0	036	036	03	1	4.0	10	3	10	0.526942147656983	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170315	http://www.chinadaily.com.cn/world/2017-03/15/content_28559327.htm
636885772	20170315	201703	2017	2017.2055	CHNGOV	CHINA	CHN					GOV			USA	UNITED STATES	USA								0	042	042	04	1	1.9	10	3	10	0.526942147656983	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170315	http://www.chinadaily.com.cn/world/2017-03/15/content_28559327.htm
636886801	20170315	201703	2017	2017.2055	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								1	010	010	01	1	0.0	8	2	8	-0.830082681562982	1	Canada	CA	CA	60	-95	CA	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	41.85	-87.6501	423587	20170315	http://uk.reuters.com/article/us-mcdonalds-mobile-idUKKBN16L2RM
636886813	20170315	201703	2017	2017.2055	GOV	SECRETARY OF STATE						GOV			USA	UNITED STATES	USA								0	036	036	03	1	4.0	8	2	8	0.551611303414911	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170315	http://www.chinadaily.com.cn/world/2017-03/15/content_28559327.htm
636886822	20170315	201703	2017	2017.2055	GOV	SECRETARY OF STATE						GOV			USA	UNITED STATES	USA								0	042	042	04	1	1.9	12	4	12	0.5179206628426	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170315	http://www.chinadaily.com.cn/world/2017-03/15/content_28559327.htm
