641735517	20170323	201703	2017	2017.2274	GBR	UNITED KINGDOM	GBR								EUR	EUROPE	EUR								1	020	020	02	1	3.0	2	2	2	0.805380003240964	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170330	http://www.india.com/news/agencies/trump-wants-britain-to-remain-engaged-with-europe-1974773/
641735519	20170323	201703	2017	2017.2274	GOV	PRESIDENT						GOV			CHNGOV	CHINA	CHN					GOV			1	040	040	04	1	1.0	82	41	82	0.587226712153996	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	Florida, United States	US	USFL	27.8333	-81.717	FL	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170330	http://kclu.org/post/chinese-president-xi-jinping-meet-president-trump-florida
641735522	20170323	201703	2017	2017.2274	IGOEUREECGOV	EUROPEAN COMMISSION	EUR	EEC				IGO	GOV		EUR	EUROPE	EUR								1	020	020	02	1	3.0	2	2	2	0.805380003240964	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20170330	http://www.india.com/news/agencies/trump-wants-britain-to-remain-engaged-with-europe-1974773/
641736459	20170330	201703	2017	2017.2466	BUS	ENTREPRENEUR						BUS			CAN	CANADIAN	CAN								1	040	040	04	1	1.0	40	39	40	0.896838930833347	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170330	http://hitsfm.net/abc-politics-news/b9706c45f82aa1fcf6fb430b23537460
641736463	20170330	201703	2017	2017.2466	BUS	ENTREPRENEUR						BUS			CANGOV	CANADA	CAN					GOV			1	040	040	04	1	1.0	38	38	38	0.934939012890219	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170330	http://hitsfm.net/abc-politics-news/b9706c45f82aa1fcf6fb430b23537460
641736464	20170330	201703	2017	2017.2466	BUS	ENTREPRENEUR						BUS			CANGOV	CANADA	CAN					GOV			1	040	040	04	1	1.0	84	42	84	0.956932993577189	1	Israel	IS	IS	31.5	34.75	IS	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170330	http://hitsfm.net/abc-politics-news/b9706c45f82aa1fcf6fb430b23537460
641736583	20170330	201703	2017	2017.2466	CAN	CANADIAN	CAN								BUS	ENTREPRENEUR						BUS			1	040	040	04	1	1.0	40	39	40	0.896838930833347	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170330	http://hitsfm.net/abc-politics-news/b9706c45f82aa1fcf6fb430b23537460
641736629	20170330	201703	2017	2017.2466	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	036	036	03	1	4.0	4	1	4	10.1871101871102	4	Niagara Falls, Ontario, Canada	CA	CA08	43.1	-79.05	-570141	3	River Falls, Wisconsin, United States	US	USWI	44.8614	-92.6238	1572347	4	Niagara Falls, Ontario, Canada	CA	CA08	43.1	-79.05	-570141	20170330	https://www.cheesetraveller.com/3-easy-vacation-destinations/
641736630	20170330	201703	2017	2017.2466	CAN	CANADIAN	CAN								USA	UNITED STATES	USA								1	036	036	03	1	4.0	2	1	2	10.1871101871102	4	Niagara Falls, Ontario, Canada	CA	CA08	43.1	-79.05	-570141	3	River Falls, Wisconsin, United States	US	USWI	44.8614	-92.6238	1572347	3	River Falls, Wisconsin, United States	US	USWI	44.8614	-92.6238	1572347	20170330	https://www.cheesetraveller.com/3-easy-vacation-destinations/
641736631	20170330	201703	2017	2017.2466	CAN	CANADIAN	CAN								USA	WISCONSIN	USA								1	036	036	03	1	4.0	1	1	1	10.1871101871102	4	Niagara Falls, Ontario, Canada	CA	CA08	43.1	-79.05	-570141	2	Wisconsin, United States	US	USWI	44.2563	-89.6385	WI	4	Niagara Falls, Ontario, Canada	CA	CA08	43.1	-79.05	-570141	20170330	https://www.cheesetraveller.com/3-easy-vacation-destinations/
