633373948	20170304	201703	2017	2017.1753											CAN	CANADA	CAN								0	042	042	04	1	1.9	1	1	1	0.69686411149826	0							1	Canada	CA	CA	60	-95	CA	3	Oregon State Hospital, Oregon, United States	US	USOR	44.9389	-123.004	1638765	20170304	http://www.oregonlive.com/portland/index.ssf/2017/03/womens_march_on_portland_canno.html
633374611	20170304	201703	2017	2017.1753	BRN	BRUNEI	BRN								CHN	BEIJING	CHN								0	043	043	04	1	2.8	10	1	10	-2.53106270254575	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170304	http://www.aninews.in/newsdetail-NA/MzAyNTEy/trump-says-039-pathetic-039-that-democrats-haven-039-t-still-approved-his-full-cabinet.html
633374715	20170304	201703	2017	2017.1753	BUS	PRODUCER						BUS			GBR	UNITED KINGDOM	GBR								0	020	020	02	1	3.0	2	1	2	1.28720836685438	1	United Kingdom	UK	UK	54	-2	UK	2	New Jersey, United States	US	USNJ	40.314	-74.5089	NJ	2	Maryland, United States	US	USMD	39.0724	-76.7902	MD	20170304	http://www.montgomerynews.com/northpennlife/news/towamencin-woman-honored-for-beach-rescue-to-be-featured-in/article_3fa56828-5013-5fc0-b512-6dc53d87123a.html
633374772	20170304	201703	2017	2017.1753	CAN	CANADA	CAN																		0	043	043	04	1	2.8	1	1	1	0.69686411149826	1	Canada	CA	CA	60	-95	CA	0							3	Oregon State Hospital, Oregon, United States	US	USOR	44.9389	-123.004	1638765	20170304	http://www.oregonlive.com/portland/index.ssf/2017/03/womens_march_on_portland_canno.html
633374829	20170304	201703	2017	2017.1753	CAN	OTTAWA	CAN								USA	UNITED STATES	USA								1	051	051	05	1	3.4	2	1	2	1.02040816326531	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	1	United States	US	US	38	-97	US	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170304	http://www.avtimes.net/national/415342754.html
633374830	20170304	201703	2017	2017.1753	CAN	OTTAWA	CAN								USA	UNITED STATES	USA								1	051	051	05	1	3.4	2	1	2	1.02040816326531	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170304	http://www.avtimes.net/national/415342754.html
633374832	20170304	201703	2017	2017.1753	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	130	130	13	3	-4.4	30	3	30	-2.85678083300916	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	20170304	http://www.worldbulletin.net/haberler/185708/for-migrants-canada-is-haven-not-trumps-america
633374833	20170304	201703	2017	2017.1753	CAN	CANADA	CAN								USA	NEW YORK	USA								1	130	130	13	3	-4.4	8	2	8	-2.76352262511238	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	20170304	http://www.worldbulletin.net/haberler/185708/for-migrants-canada-is-haven-not-trumps-america
633374840	20170304	201703	2017	2017.1753	CANCOP	CANADIAN	CAN					COP			USA	NEW YORK STATE	USA								1	130	130	13	3	-4.4	10	3	10	-2.85678083300916	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Quebec, Quebec, Canada	CA	CA10	47.5	-72	-571850	20170304	http://www.worldbulletin.net/haberler/185708/for-migrants-canada-is-haven-not-trumps-america
633374888	20170304	201703	2017	2017.1753	CHN	BEIJING	CHN								BRN	BRUNEI	BRN								0	042	042	04	1	1.9	10	1	10	-2.53106270254575	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	2	New York, United States	US	USNY	42.1497	-74.9384	NY	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20170304	http://www.aninews.in/newsdetail-NA/MzAyNTEy/trump-says-039-pathetic-039-that-democrats-haven-039-t-still-approved-his-full-cabinet.html
633374902	20170304	201703	2017	2017.1753	CHN	BEIJING	CHN								CVL	CITIZEN						CVL			1	130	130	13	3	-4.4	2	1	2	-2.63157894736842	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170304	http://www.aninews.in/newsdetail-NA/MzAyNTEy/trump-says-039-pathetic-039-that-democrats-haven-039-t-still-approved-his-full-cabinet.html
