630316879	20160224	201602	2016	2016.1479											IND	DELHI	IND								0	112	112	11	3	-2.0	1	1	1	-13.0555555555555	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	3	Hamilton County, Ohio, United States	US	USOH	39.1834	-84.5333	1074043	20170223	http://www.cincinnati.com/story/news/crime/2017/02/22/lebanon-heroin-dealer-sentenced-5-years-fatal-od/98270566/
630316888	20160224	201602	2016	2016.1479	BUS	BUSINESS						BUS			BUSBUS	AEROSPACE						BUS	BUS		1	043	043	04	1	2.8	8	3	8	-0.87162050009773	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170223	http://www.ctvnews.ca/business/good-news-for-bombardier-business-jet-sales-may-be-bolstered-by-trump-tax-cuts-1.3296891
630316893	20160224	201602	2016	2016.1479	BUSBUS	AEROSPACE						BUS	BUS		BUS	BUSINESS						BUS			1	042	042	04	1	1.9	4	2	4	-1.10662753729519	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	20170223	http://www.ctvnews.ca/business/good-news-for-bombardier-business-jet-sales-may-be-bolstered-by-trump-tax-cuts-1.3296891
630316906	20160224	201602	2016	2016.1479	IND	DELHI	IND								USA	UNITED STATES	USA								0	112	112	11	3	-2.0	2	1	2	-13.0555555555555	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	3	Hamilton County, Ohio, United States	US	USOH	39.1834	-84.5333	1074043	3	Hamilton County, Ohio, United States	US	USOH	39.1834	-84.5333	1074043	20170223	http://www.cincinnati.com/story/news/crime/2017/02/22/lebanon-heroin-dealer-sentenced-5-years-fatal-od/98270566/
630316947	20170124	201701	2017	2017.0658	MEX	MEXICAN	MEX								USAGOV	THE WHITE HOUSE	USA					GOV			1	160	160	16	4	-4.0	51	36	49	-4.43118716801237	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	20170223	http://abcnews.go.com/International/tillerson-kelly-visit-mexico-amid-tension-deportation-guidelines/story?id=45656419
630316949	20170124	201701	2017	2017.0658	MEXGOV	MEXICO	MEX					GOV			USA	UNITED STATES	USA								1	160	160	16	4	-4.0	168	36	160	-4.43118716801237	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	20170223	http://abcnews.go.com/International/tillerson-kelly-visit-mexico-amid-tension-deportation-guidelines/story?id=45656419
630316950	20170124	201701	2017	2017.0658	MEXGOV	MEXICAN	MEX					GOV			USAGOV	THE WHITE HOUSE	USA					GOV			1	160	160	16	4	-4.0	84	36	80	-4.43118716801237	1	Mexico	MX	MX	23	-102	MX	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Mexico	MX	MX	23	-102	MX	20170223	http://abcnews.go.com/International/tillerson-kelly-visit-mexico-amid-tension-deportation-guidelines/story?id=45656419
630316954	20170124	201701	2017	2017.0658	USA	UNITED STATES	USA								MEX	MEXICAN	MEX								1	010	010	01	1	0.0	2	1	2	-2.13523131672597	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170223	http://www.cincinnati.com/story/news/politics/2017/02/22/chabot-trump-media-not-enemy/98251426/
630316955	20170124	201701	2017	2017.0658	USA	UNITED STATES	USA								MEX	MEXICAN	MEX								1	055	055	05	1	7.0	2	1	2	-2.13523131672597	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170223	http://www.cincinnati.com/story/news/politics/2017/02/22/chabot-trump-media-not-enemy/98251426/
630317144	20170223	201702	2017	2017.1452											CVL	SCIENTIST						CVL			1	040	040	04	1	1.0	8	1	8	-3.60082304526749	0							1	United States	US	US	38	-97	US	1	United Kingdom	UK	UK	54	-2	UK	20170223	https://nuclear-news.net/2013/04/23/uk-shocking-increase-in-respirtory-problems-due-to-nuclear-incidents-from-fukushima-and-the-budapest-medical-isotope-inst/
630317219	20170223	201702	2017	2017.1452											FRA	LIMOUSIN	FRA								1	043	043	04	1	2.8	4	1	4	1.19617224880383	0							1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	20170223	http://www.stockjournal.com.au/story/4486658/maryvale-average-lifts-1700-with-12250-high-twice/?cs=4874
630317370	20170223	201702	2017	2017.1452											MED	NEWSPAPER						MED			0	036	036	03	1	4.0	6	1	6	-1.87617260787993	0							1	Mexico	MX	MX	23	-102	MX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170223	http://www.ccenterdispatch.com/news/national/article_ebe7fdaa-2ac4-5bd5-b59f-ad6bd4946708.html
630317381	20170223	201702	2017	2017.1452											MEX	MEXICO CITY	MEX								1	042	042	04	1	1.9	40	10	40	-3.90977843193224	0							2	Maryland, United States	US	USMD	39.0724	-76.7902	MD	4	Mexico City, Distrito Federal, Mexico	MX	MX09	19.4342	-99.1386	-1658079	20170223	http://www.news-herald.com/general-news/20170222/trump-sends-top-aides-to-mexico-amid-deep-strains-with-us
630317383	20170223	201702	2017	2017.1452											MEX	MEXICO	MEX								0	043	043	04	1	2.8	54	9	54	-4.57746478873239	0							1	Mexico	MX	MX	23	-102	MX	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170223	http://www.9news.com/news/nation-now/foreign-minister-mexico-will-not-accept-unilateral-us-immigration-proposals/412780099
