616253751	20160113	201601	2016	2016.0356	JUD	SUPREME COURT						JUD			USA	UNITED STATES	USA								0	040	040	04	1	1.0	2	1	2	-2.72654370489174	1	Mexico	MX	MX	23	-102	MX	3	Manhattan, New York, United States	US	USNY	40.7834	-73.9662	971945	1	Mexico	MX	MX	23	-102	MX	20170112	http://www.lehighvalleylive.com/news/index.ssf/2017/01/9_highlights_of_donald_trumps.html
616253772	20160113	201601	2016	2016.0356	USA	UNITED STATES	USA								JUD	SUPREME COURT						JUD			0	040	040	04	1	1.0	2	1	2	-2.72654370489174	3	Manhattan, New York, United States	US	USNY	40.7834	-73.9662	971945	1	Mexico	MX	MX	23	-102	MX	1	Mexico	MX	MX	23	-102	MX	20170112	http://www.lehighvalleylive.com/news/index.ssf/2017/01/9_highlights_of_donald_trumps.html
616254001	20170112	201701	2017	2017.0329											GBR	LONDON	GBR								1	013	013	01	1	0.4	3	1	3	0	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20170112	http://www.prweek.com/article/1420636/hotwire-names-laura-macdonald-first-head-consumer-north-america
616254152	20170112	201701	2017	2017.0329											MEX	MEXICO	MEX								0	046	046	04	1	7.0	2	1	2	-4.66712422786548	0							1	Mexico	MX	MX	23	-102	MX	2	California, United States	US	USCA	36.17	-119.746	CA	20170112	http://www.californiatelegraph.com/index.php/sid/250849381
616254153	20170112	201701	2017	2017.0329											MEX	MEXICO	MEX								0	046	046	04	1	7.0	2	1	2	-3.62844702467344	0							1	Mexico	MX	MX	23	-102	MX	2	Maine, United States	US	USME	44.6074	-69.3977	ME	20170112	http://www.mainemirror.com/index.php/sid/250849381
616254155	20170112	201701	2017	2017.0329											MEX	MEXICO	MEX								0	046	046	04	1	7.0	2	1	2	-4.59849004804393	0							1	Mexico	MX	MX	23	-102	MX	2	New Jersey, United States	US	USNJ	40.314	-74.5089	NJ	20170112	http://www.newjerseytelegraph.com/index.php/sid/250849381
616254394	20170112	201701	2017	2017.0329											USA	UNITED STATES	USA								1	173	173	17	4	-5.0	5	1	5	0	0							2	Michigan, United States	US	USMI	43.3504	-84.5603	MI	1	Mexico	MX	MX	23	-102	MX	20170112	http://www.wfmj.com/story/34239333/donald-trump-gives-first-press-conference-since-election
616254872	20170112	201701	2017	2017.0329	CAN	CANADA	CAN																		0	0874	087	08	2	10.0	4	2	4	-0.40160642570281	4	Ponoka, Alberta, Canada	CA	CA01	52.6833	-113.567	-571488	0							2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	20170112	http://1049maxcountry.com/abc_world/rescuers-race-to-save-horse-that-fell-through-icy-creek-in-canada-abcid35843031/
616254895	20170112	201701	2017	2017.0329	CAN	ALBERTA	CAN								ENV	ENVIRONMENTALIST						ENV			1	040	040	04	1	1.0	22	19	22	0.165761995371459	1	United Kingdom	UK	UK	54	-2	UK	3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	4	Paris, France (general), France	FR	FR00	48.8667	2.33333	-1456928	20170112	http://www.macleans.ca/news/jane-fonda-speaks-against-oil-sands-in-alberta/
616254900	20170112	201701	2017	2017.0329	CAN	ALBERTA	CAN								ENV	ENVIRONMENTALIST						ENV			1	051	051	05	1	3.4	13	13	13	0.191154360931624	1	United Kingdom	UK	UK	54	-2	UK	3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	20170112	http://www.macleans.ca/news/jane-fonda-speaks-against-oil-sands-in-alberta/
