627939351	20170216	201702	2017	2017.1260											GOV	GOVERNMENT						GOV			1	050	050	05	1	3.5	4	1	4	3.91534391534392	0							4	Vancouver, British Columbia, Canada	CA	CA02	49.25	-123.133	-575268	2	Virginia, United States	US	USVA	37.768	-78.2057	VA	20170216	http://www.so-co-it.com/post/524345/d-wave-names-letitia-long-and-steven-m-west-to-board-of-d-wave-government-inc.html
627939675	20170216	201702	2017	2017.1260											USA	PHOENIX	USA								1	043	043	04	1	2.8	10	1	10	-0.5524861878453	0							3	Phoenix, Arizona, United States	US	USAZ	33.4484	-112.074	44784	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	20170216	http://www.sci-news.com/astronomy/black-hole-phoenix-clusters-central-galaxy-04623.html
627939978	20170216	201702	2017	2017.1260	BEL	BRUSSELS	BEL								GOVMIL	SECRETARY OF DEFENSE						GOV	MIL		1	046	046	04	1	7.0	56	7	56	-1.41721927662514	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	50.8333	4.33333	-1955538	2	Virginia, United States	US	USVA	37.768	-78.2057	VA	1	United Kingdom	UK	UK	54	-2	UK	20170216	http://www.fox8live.com/story/34509655/pentagon-boss-to-nato-nations-increase-military-spending
627939986	20170216	201702	2017	2017.1260	BEL	BRUSSELS	BEL								USAGOVMIL	UNITED STATES	USA					GOV	MIL		1	043	043	04	1	2.8	14	7	14	-1.41721927662514	1	United Kingdom	UK	UK	54	-2	UK	2	Virginia, United States	US	USVA	37.768	-78.2057	VA	1	United Kingdom	UK	UK	54	-2	UK	20170216	http://www.fox8live.com/story/34509655/pentagon-boss-to-nato-nations-increase-military-spending
627939988	20170216	201702	2017	2017.1260	BEL	BRUSSELS	BEL								USAGOVMIL	UNITED STATES	USA					GOV	MIL		1	046	046	04	1	7.0	14	7	14	-1.41721927662514	1	United Kingdom	UK	UK	54	-2	UK	2	Virginia, United States	US	USVA	37.768	-78.2057	VA	2	Virginia, United States	US	USVA	37.768	-78.2057	VA	20170216	http://www.fox8live.com/story/34509655/pentagon-boss-to-nato-nations-increase-military-spending
627940239	20170216	201702	2017	2017.1260	CAN	CANADA	CAN								FRA	PARIS	FRA								1	042	042	04	1	1.9	2	1	2	3.21637426900584	4	Snake River, British Columbia, Canada	CA	CA02	59.0333	-122.433	-573806	4	Vienna, Wien, Austria	AU	AU09	48.2	16.3667	-1995499	2	Idaho, United States	US	USID	44.2394	-114.51	ID	20170216	http://www.clevescene.com/scene-and-heard/archives/2017/02/15/87-year-old-norwalk-womans-obit-smiling-now-not-to-be-living-during-the-trump-presidency
627940247	20170216	201702	2017	2017.1260	CAN	CANADA	CAN								GOVMIL	DEFENSE MINIST						GOV	MIL		1	013	013	01	1	0.4	1	1	1	-0.38412291933418	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170216	http://ottawacitizen.com/news/national/defence-watch/mattis-gives-canada-and-other-nato-nations-an-ultimatum-on-boosting-defence-spending
627940266	20170216	201702	2017	2017.1260	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	040	040	04	1	1.0	14	12	14	1.94484653542029	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170216	http://www.wlec.com/politics/trump-says-he-can-live-with-either-one-or-two-state-solution-in-israel-2/
627940267	20170216	201702	2017	2017.1260	CAN	CANADIAN	CAN								USA	UNITED STATES	USA								1	040	040	04	1	1.0	10	9	10	2.01551106382223	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Canada	CA	CA	60	-95	CA	20170216	http://www.wlec.com/politics/trump-says-he-can-live-with-either-one-or-two-state-solution-in-israel-2/
627940268	20170216	201702	2017	2017.1260	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	040	040	04	1	1.0	9	9	9	2.10112496287993	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20170216	http://www.wlec.com/politics/trump-says-he-can-live-with-either-one-or-two-state-solution-in-israel-2/
