633850426	20170306	201703	2017	2017.1808	BUS	CORPORATION						BUS			IND	MUMBAI	IND								1	036	036	03	1	4.0	1	1	1	-2.80112044817927	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170306	http://dnasyndication.com/dna/top_news/dna_english_news_and_features/Aarey_car_depot_may_become_Parjapur_depot/DNMUM384434
633850427	20170306	201703	2017	2017.1808	BUS	CORPORATION						BUS			IND	MUMBAI	IND								1	036	036	03	1	4.0	1	1	1	-2.80112044817927	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	27.25	80.75	-2113996	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20170306	http://dnasyndication.com/dna/top_news/dna_english_news_and_features/Aarey_car_depot_may_become_Parjapur_depot/DNMUM384434
633850428	20170306	201703	2017	2017.1808	BUS	CORPORATION						BUS			IND	MUMBAI	IND								1	036	036	03	1	4.0	2	1	2	-2.80112044817927	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	27.25	80.75	-2113996	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170306	http://dnasyndication.com/dna/top_news/dna_english_news_and_features/Aarey_car_depot_may_become_Parjapur_depot/DNMUM384434
633850450	20170306	201703	2017	2017.1808	CAN	CANADA	CAN																		1	020	020	02	1	3.0	65	62	65	1.30776767020163	1	Canada	CA	CA	60	-95	CA	0							1	United States	US	US	38	-97	US	20170306	http://www.kxlh.com/story/34669672/is-the-canadian-dream-the-new-american-dream
633850458	20170306	201703	2017	2017.1808	CAN	CANADA	CAN																		1	0841	084	08	2	7.0	55	55	55	1.35413175457702	1	United States	US	US	38	-97	US	0							1	Canada	CA	CA	60	-95	CA	20170306	http://www.kxlh.com/story/34669672/is-the-canadian-dream-the-new-american-dream
633850465	20170306	201703	2017	2017.1808	CAN	CANADIAN	CAN								GOV	ADMINISTRATION						GOV			0	0353	035	03	1	7.0	6	1	6	-1.04662226450999	1	Canada	CA	CA	60	-95	CA	3	Hollywood, California, United States	US	USCA	34.0983	-118.327	1660757	1	Canada	CA	CA	60	-95	CA	20170306	http://www.gulf-times.com/story/535296/Laughing-in-the-dark
633850469	20170306	201703	2017	2017.1808	CAN	CANADA	CAN								NGOHRIMED	REPORTERS WITHOUT BORDERS						NGO	HRI	MED	1	0841	084	08	2	7.0	55	55	55	1.35413175457702	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	1	Canada	CA	CA	60	-95	CA	20170306	http://www.kxlh.com/story/34669672/is-the-canadian-dream-the-new-american-dream
633850470	20170306	201703	2017	2017.1808	CAN	CANADA	CAN								NGOHRIMED	REPORTERS WITHOUT BORDERS						NGO	HRI	MED	1	0841	084	08	2	7.0	5	5	5	1.3272688793793	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	20170306	http://www.cbs46.com/story/34670152/is-the-canadian-dream-the-new-american-dream
633850472	20170306	201703	2017	2017.1808	CANMIL	CANADA	CAN					MIL			MIL	AIRCRAFT CARRIER						MIL			0	090	090	09	2	-2.0	1	1	1	-2.45711636532221	3	Fort Worth, Texas, United States	US	USTX	32.7254	-97.3208	1380947	1	Canada	CA	CA	60	-95	CA	1	Malaysia	MY	MY	2.5	112.5	MY	20170306	http://thesaker.is/poroshenko-doesnt-want-another-maidan-sitrep/
633850592	20170306	201703	2017	2017.1808	COP	PRISON						COP			USA	AMERICAN	USA								1	173	173	17	4	-5.0	60	60	60	1.35189318164388	1	Canada	CA	CA	60	-95	CA	1	United States	US	US	38	-97	US	1	Canada	CA	CA	60	-95	CA	20170306	http://www.kxlh.com/story/34669672/is-the-canadian-dream-the-new-american-dream
