640473930	20170326	201703	2017	2017.2356											USA	UNITED STATES	USA								1	061	061	06	2	6.4	2	2	2	4.53090402054212	0							3	Fort Myers, Florida, United States	US	USFL	26.6406	-81.8723	282700	4	Altrincham, Trafford, United Kingdom	UK	UKO6	53.3833	-2.35	-2588187	20170326	http://www.dailymail.co.uk/news/article-4349698/Alcoholic-tipples-cats-dogs-makes-euphoric.html
640474062	20170326	201703	2017	2017.2356	BUS	COMPANY						BUS													0	100	100	10	3	-5.0	16	2	16	-0.84797123780175	4	Calgary, Alberta, Canada	CA	CA01	51.0833	-114.083	-561990	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170326	http://press-leader.com/news/3226/trump-administration-approves-keystone-xl-pipeline
640474091	20170326	201703	2017	2017.2356	BUS	COMPANY						BUS			USA	UNITED STATES	USA								0	015	015	01	1	0.0	12	2	12	-0.84797123780175	4	Calgary, Alberta, Canada	CA	CA01	51.0833	-114.083	-561990	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170326	http://press-leader.com/news/3226/trump-administration-approves-keystone-xl-pipeline
640474100	20170326	201703	2017	2017.2356	BUS	COMPANY						BUS			USAGOV	THE WHITE HOUSE	USA					GOV			0	015	015	01	1	0.0	4	2	4	-0.84797123780175	4	Calgary, Alberta, Canada	CA	CA01	51.0833	-114.083	-561990	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170326	http://press-leader.com/news/3226/trump-administration-approves-keystone-xl-pipeline
640474139	20170326	201703	2017	2017.2356	CAN	CANADA	CAN								USA	AMERICAN	USA								0	061	061	06	2	6.4	16	2	16	-0.84797123780175	4	Calgary, Alberta, Canada	CA	CA01	51.0833	-114.083	-561990	2	South Dakota, United States	US	USSD	44.2853	-99.4632	SD	4	Calgary, Alberta, Canada	CA	CA01	51.0833	-114.083	-561990	20170326	http://press-leader.com/news/3226/trump-administration-approves-keystone-xl-pipeline
640474413	20170326	201703	2017	2017.2356	EDU	SCHOLAR						EDU													0	110	110	11	3	-2.0	1	1	1	-1.71154723870379	3	Department Of Education, District of Columbia, United States	US	USDC	38.8862	-77.0183	530857	0							1	Mexico	MX	MX	23	-102	MX	20170326	http://www.alternet.org/news-amp-politics/hour-attorneys-general
640474438	20170326	201703	2017	2017.2356	EDU	SCHOLAR						EDU			USA	UNITED STATES	USA								0	110	110	11	3	-2.0	1	1	1	-1.71154723870379	3	Department Of Education, District of Columbia, United States	US	USDC	38.8862	-77.0183	530857	3	Department Of Education, District of Columbia, United States	US	USDC	38.8862	-77.0183	530857	1	Mexico	MX	MX	23	-102	MX	20170326	http://www.alternet.org/news-amp-politics/hour-attorneys-general
640474490	20170326	201703	2017	2017.2356	GBR	UNITED KINGDOM	GBR																		0	110	110	11	3	-2.0	4	1	4	-0.57416267942583	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	0							2	Texas, United States	US	USTX	31.106	-97.6475	TX	20170326	http://www.sundaytimes.lk/170326/news/srilankan-faces-court-action-in-london-234231.html
640474497	20170326	201703	2017	2017.2356	GBR	UNITED KINGDOM	GBR																		1	193	193	19	4	-10.0	2	1	2	4.44964871194379	4	Altrincham, Trafford, United Kingdom	UK	UKO6	53.3833	-2.35	-2588187	0							3	Fort Myers, Florida, United States	US	USFL	26.6406	-81.8723	282700	20170326	http://www.dailymail.co.uk/news/article-4349698/Alcoholic-tipples-cats-dogs-makes-euphoric.html
640474518	20170326	201703	2017	2017.2356	GBR	UNITED KINGDOM	GBR								GBRGOVHRI	THERESA MAY	GBR					GOV	HRI		1	036	036	03	1	4.0	4	4	4	0.47846889952153	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	2	Nebraska, United States	US	USNE	41.1289	-98.2883	NE	20170326	http://kticradio.com/abc_world/ukips-only-mp-resigns-to-become-an-independent-abcid35884699/
