626810586	20170213	201702	2017	2017.1178											CAN	CANADA	CAN								1	040	040	04	1	1.0	38	37	38	0.906130421875583	0							4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170213	http://wlfi.com/ap/trump-trudeau-to-discuss-women-in-workforce/
626811055	20170213	201702	2017	2017.1178	BUS	BUSINESS						BUS													0	036	036	03	1	4.0	329	143	329	0.884220259886669	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	0							3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170213	http://hosted.ap.org/dynamic/stories/U/US_TRUMP_IVANKA?SITE=MAQUI&SECTION=BUSINESS&TEMPLATE=DEFAULT&CTIME=2017-02-12-18-36-24
626811120	20170213	201702	2017	2017.1178	BUS	INDUSTRY						BUS			GOV	GOVERNMENT						GOV			0	120	120	12	3	-4.0	4	1	4	-1.74825174825175	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170213	http://m.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=11799720
626811146	20170213	201702	2017	2017.1178	BUS	BANK						BUS			USA	UNITED STATES	USA								1	114	114	11	3	-2.0	2	1	2	-1.08958837772397	1	Canada	CA	CA	60	-95	CA	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170213	https://in.news.yahoo.com/latest-trump-adviser-says-wh-looking-options-ban-142230216--politics.html
626811196	20170213	201702	2017	2017.1178	CAN	TORONTO	CAN								GOV	PRESIDENT						GOV			1	040	040	04	1	1.0	25	6	25	-0.553105848834693	4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170213	http://huddle.today/five-things-watch-canadian-business-world-coming-week49/
626811208	20170213	201702	2017	2017.1178	CAN	CANADA	CAN								MEX	MEXICO	MEX								0	050	050	05	1	3.5	12	1	12	0.879014913726392	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170213	http://hosted.ap.org/dynamic/stories/U/US_TRUMP_IVANKA?SITE=MAQUI&SECTION=BUSINESS&TEMPLATE=DEFAULT&CTIME=2017-02-12-18-36-24
626811209	20170213	201702	2017	2017.1178	CAN	CANADA	CAN								MEX	MEXICO	MEX								0	050	050	05	1	3.5	14	7	14	0.979275543133641	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170213	http://hosted2.ap.org/APDEFAULT/f70471f764144b2fab526d39972d37b3/Article_2017-02-12-US--Trump-Ivanka/id-aefb25a20be647e2bcaef7e8a3b2f447
626811211	20170213	201702	2017	2017.1178	CAN	CANADA	CAN								MEX	MEXICO	MEX								0	050	050	05	1	3.5	186	93	186	0.892836113779787	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	45.4167	-75.7	-570760	20170213	http://www.roanoke.com/news/politics/wire/trump-trudeau-to-discuss-women-in-workforce/article_d8cbe2a9-84ea-5652-814a-82bc5e68176e.html
626811215	20170213	201702	2017	2017.1178	CAN	CANADIAN	CAN								USA	UNITED STATES	USA								1	012	012	01	1	-0.4	26	8	26	-0.422582103352182	1	Canada	CA	CA	60	-95	CA	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20170213	http://www.efe.com/efe/english/world/trudeau-to-sidestep-conflictual-issues-in-meeting-with-trump/50000262-3177347
626811216	20170213	201702	2017	2017.1178	CAN	CANADA	CAN								USA	UNITED STATES	USA								0	036	036	03	1	4.0	72	18	72	-1.02646121730134	1	Canada	CA	CA	60	-95	CA	2	New Hampshire, United States	US	USNH	43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH	43.4108	-71.5653	NH	20170213	http://economictimes.indiatimes.com/news/international/world-news/the-latest-trump-trudeau-to-confer-on-women-in-workforce/articleshow/57117021.cms
